,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Reggie Bullock,38:55,2.0,6.0,33.3,2.0,5.0,40.0,1.0,1.0,100.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,7.0,9.0,05/08/2022,13.0
Dorian Finney-Smith,38:25,8.0,13.0,61.5,8.0,12.0,66.7,0.0,0.0,0.0,5.0,3.0,8.0,1.0,1.0,0.0,0.0,2.0,24.0,11.0,05/08/2022,41.5
Dwight Powell,9:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,05/08/2022,1.25
Jalen Brunson,37:37,7.0,17.0,41.2,1.0,3.0,33.3,3.0,4.0,75.0,1.0,3.0,4.0,4.0,0.0,0.0,2.0,2.0,18.0,16.0,05/08/2022,28.5
Luka Doncic,36:53,9.0,25.0,36.0,1.0,10.0,10.0,7.0,8.0,87.5,0.0,7.0,7.0,11.0,3.0,0.0,4.0,4.0,26.0,14.0,05/08/2022,55.75
Maxi Kleber,34:04,4.0,7.0,57.1,1.0,3.0,33.3,2.0,2.0,100.0,2.0,5.0,7.0,0.0,0.0,1.0,2.0,3.0,11.0,16.0,05/08/2022,21.25
Spencer Dinwiddie,19:16,3.0,10.0,30.0,2.0,4.0,50.0,2.0,2.0,100.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,10.0,-2.0,05/08/2022,22.0
Davis Bertans,12:52,4.0,6.0,66.7,4.0,6.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,-3.0,05/08/2022,15.25
Frank Ntilikina,8:52,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,4.0,05/08/2022,7.0
Josh Green,1:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,05/08/2022,0.0
Marquese Chriss,1:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,05/08/2022,1.25
Sterling Brown,1:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,05/08/2022,0.0
