,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Reggie Bullock,44:29,3.0,6.0,50.0,3.0,6.0,50.0,3.0,3.0,100.0,0.0,6.0,6.0,3.0,1.0,0.0,0.0,2.0,12.0,2.0,04/21/2022,27.5
Dorian Finney-Smith,46:49,6.0,12.0,50.0,2.0,7.0,28.6,0.0,0.0,0.0,1.0,7.0,8.0,2.0,4.0,0.0,1.0,4.0,14.0,12.0,04/21/2022,35.5
Dwight Powell,13:18,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,-11.0,04/21/2022,4.0
Spencer Dinwiddie,40:46,6.0,21.0,28.6,2.0,7.0,28.6,6.0,7.0,85.7,2.0,3.0,5.0,6.0,3.0,0.0,2.0,6.0,20.0,8.0,04/21/2022,41.25
Jalen Brunson,35:05,12.0,22.0,54.5,0.0,4.0,0.0,7.0,7.0,100.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,2.0,31.0,-1.0,04/21/2022,40.75
Maxi Kleber,22:20,6.0,7.0,85.7,4.0,5.0,80.0,1.0,2.0,50.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,5.0,17.0,10.0,04/21/2022,23.75
Josh Green,18:47,4.0,6.0,66.7,3.0,5.0,60.0,1.0,4.0,25.0,0.0,3.0,3.0,6.0,2.0,0.0,0.0,3.0,12.0,10.0,04/21/2022,30.25
Davis Bertans,13:54,4.0,7.0,57.1,4.0,7.0,57.1,3.0,3.0,100.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,15.0,6.0,04/21/2022,21.0
Trey Burke,4:08,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,04/21/2022,3.0
Sterling Brown,0:26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,04/21/2022,2.0
