,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Reggie Bullock,32:13,1.0,4.0,25.0,1.0,4.0,25.0,2.0,2.0,100.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,5.0,44.0,05/15/2022,10.25
Dorian Finney-Smith,29:31,1.0,4.0,25.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,5.0,5.0,4.0,2.0,0.0,1.0,4.0,5.0,37.0,05/15/2022,21.25
Dwight Powell,20:12,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,2.0,2.0,6.0,24.0,05/15/2022,13.25
Jalen Brunson,29:38,11.0,19.0,57.9,2.0,4.0,50.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,1.0,0.0,0.0,2.0,24.0,22.0,05/15/2022,37.5
Luka Doncic,30:24,12.0,19.0,63.2,6.0,11.0,54.5,5.0,5.0,100.0,1.0,9.0,10.0,4.0,2.0,0.0,2.0,3.0,35.0,37.0,05/15/2022,59.5
Maxi Kleber,21:04,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,3.0,0.0,1.0,3.0,20.0,05/15/2022,14.5
Spencer Dinwiddie,25:24,11.0,15.0,73.3,5.0,7.0,71.4,3.0,3.0,100.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,30.0,29.0,05/15/2022,43.25
Davis Bertans,13:49,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,05/15/2022,6.0
Frank Ntilikina,12:56,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,3.0,5.0,05/15/2022,9.0
Marquese Chriss,6:44,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-11.0,05/15/2022,3.5
Trey Burke,5:17,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-11.0,05/15/2022,5.25
Josh Green,5:17,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-11.0,05/15/2022,3.5
Sterling Brown,4:18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.0,05/15/2022,1.5
Boban Marjanovic,3:13,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,-12.0,05/15/2022,3.5
