,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Vimael Machin 3B,4,0,0,0,0,2,4,.191,.260,.250,.510,18,10,-0.077, 0.78,0.000,-0.077%,0%, 0.00, -1.1,0,4,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Tony Kemp 2B-LF,4,0,3,1,0,0,4,.216,.291,.306,.596,19,13,0.150, 0.71,0.161,-0.011%,0%, 0.00, 1.6,1,3,2·2B,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Ramon Laureano RF,4,0,0,0,0,2,4,.224,.305,.396,.701,17,13,-0.090, 0.80,0.000,-0.090%,0%, 0.00, -1.4,2,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Chad Pinder DH,4,0,0,0,0,3,4,.243,.268,.412,.679,16,12,-0.074, 0.70,0.000,-0.074%,0%, 0.00, -1.0,,,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Elvis Andrus SS,4,0,0,0,0,1,4,.233,.301,.359,.660,17,12,-0.054, 0.54,0.000,-0.054%,0%, 0.00, -0.7,0,3,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Stephen Vogt C,3,1,1,1,1,1,4,.153,.227,.329,.556,17,9,0.105, 0.38,0.119,-0.014%,0%, 0.00, 0.9,5,0,HR,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Stephen Piscotty LF,3,2,2,1,0,1,3,.218,.283,.376,.659,6,5,0.125, 0.72,0.141,-0.016%,0%, 0.00, 1.3,3,0,HR,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
   Nick Allen 2B,0,0,0,0,0,0,0,.195,.260,.257,.517,,,,,,,,,,0,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Jonah Bride 1B,3,1,1,0,0,1,3,.234,.280,.255,.535,12,10,0.011, 0.95,0.049,-0.038%,0%, 0.00, -0.0,13,0,SB,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Skye Bolt CF,3,0,1,1,0,0,3,.220,.270,.373,.643,15,8,0.043, 0.90,0.082,-0.039%,0%, 0.00, 0.4,3,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Cole Irvin P,,,,,,,,,,,,,,,,,,,,,0,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
   Domingo Acevedo P,,,,,,,,,,,,,,,,,,,,,0,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
   A.J. Puk P,,,,,,,,,,,,,,,,,,,,,0,0,,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
