AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
5,0,0,0,0,1,5,.205,.234,.273,.507,15,13,-0.105, 0.81,0.000,-0.105%,0%, 0.00, -0.9,0,4,,73° F, Wind 0mph, In Dome.
4,1,1,1,0,2,4,.236,.320,.413,.733,21,12,0.028, 0.62,0.076,-0.049%,0%, 0.00, 0.6,4,0,HR,73° F, Wind 0mph, In Dome.
4,1,1,0,0,0,4,.241,.308,.409,.717,17,12,-0.052, 1.06,0.036,-0.088%,0%, 0.00, -0.3,9,0,,73° F, Wind 0mph, In Dome.
4,1,1,0,0,0,4,.216,.269,.396,.665,12,9,0.003, 1.21,0.084,-0.081%,0%, 0.00, 0.1,5,0,,73° F, Wind 0mph, In Dome.
4,1,3,1,0,0,4,.241,.267,.394,.660,12,8,0.232, 1.40,0.249,-0.017%,0%, 0.00, 1.5,3,0,2B,73° F, Wind 0mph, In Dome.
0,0,0,0,0,0,1,.225,.279,.375,.654,4,2,0.013, 0.42,0.013,0.000%,0%, 0.00, 0.1,1,0,HBP,73° F, Wind 0mph, In Dome.
1,0,0,0,0,1,1,.333,.333,.500,.833,5,3,-0.029, 1.03,0.000,-0.029%,0%, 0.00, -0.2,1,0,,73° F, Wind 0mph, In Dome.
1,0,1,2,0,0,2,.149,.217,.311,.528,5,3,0.237, 2.58,0.244,-0.007%,0%, 0.00, 0.8,4,0,SF,73° F, Wind 0mph, In Dome.
3,0,1,0,1,1,4,.225,.295,.356,.651,23,16,-0.018, 1.22,0.041,-0.059%,0%, 0.00, -0.1,0,1,,73° F, Wind 0mph, In Dome.
4,0,0,0,0,3,4,.188,.267,.288,.554,16,12,-0.170, 1.54,0.000,-0.170%,0%, 0.00, -1.4,,,,73° F, Wind 0mph, In Dome.
4,0,0,0,0,1,4,.203,.282,.263,.545,12,10,-0.095, 0.92,0.000,-0.095%,0%, 0.00, -0.8,0,1,,73° F, Wind 0mph, In Dome.
0,0,0,0,0,0,0,.196,.271,.268,.539,,,,,,,,,,0,0,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 0mph, In Dome.
