,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Gordon Hayward,31:20,4.0,12.0,33.3,2.0,5.0,40.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0,5.0,11/14/2021,Golden State Warriors,20.75
Miles Bridges,41:36,9.0,16.0,56.3,2.0,6.0,33.3,2.0,3.0,66.7,1.0,7.0,8.0,3.0,1.0,0.0,1.0,4.0,22.0,12.0,11/14/2021,Golden State Warriors,39.0
Mason Plumlee,28:46,2.0,4.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,3.0,6.0,1.0,0.0,1.0,3.0,5.0,4.0,11/14/2021,Golden State Warriors,19.25
Terry Rozier,32:10,7.0,14.0,50.0,3.0,8.0,37.5,3.0,3.0,100.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,20.0,-4.0,11/14/2021,Golden State Warriors,28.0
LaMelo Ball,37:33,8.0,17.0,47.1,4.0,8.0,50.0,1.0,1.0,100.0,0.0,7.0,7.0,5.0,3.0,0.0,4.0,5.0,21.0,13.0,11/14/2021,Golden State Warriors,43.25
Cody Martin,28:14,5.0,9.0,55.6,1.0,2.0,50.0,1.0,3.0,33.3,2.0,6.0,8.0,3.0,2.0,0.0,0.0,3.0,12.0,4.0,11/14/2021,Golden State Warriors,31.0
Kelly Oubre Jr.,15:57,4.0,8.0,50.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,3.0,10.0,-2.0,11/14/2021,Golden State Warriors,17.5
Jalen McDaniels,21:02,3.0,7.0,42.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,2.0,6.0,-7.0,11/14/2021,Golden State Warriors,15.25
Ish Smith,3:23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,11/14/2021,Golden State Warriors,0.75
