,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Michael Porter Jr.,32:38,5.0,13.0,38.5,2.0,7.0,28.6,0.0,0.0,0.0,1.0,5.0,6.0,2.0,1.0,0.0,0.0,1.0,12.0,10.0,12/20/2023,Toronto Raptors,25.5,LAC @ DAL
Aaron Gordon,30:11,6.0,9.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,12.0,14.0,12/20/2023,Toronto Raptors,20.75,LAC @ DAL
Nikola Jokic,38:06,13.0,23.0,56.5,3.0,5.0,60.0,2.0,3.0,66.7,5.0,10.0,15.0,6.0,0.0,2.0,2.0,2.0,31.0,15.0,12/20/2023,Toronto Raptors,63.25,LAC @ DAL
Kentavious Caldwell-Pope,31:45,4.0,5.0,80.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,10.0,15.0,12/20/2023,Toronto Raptors,26.0,LAC @ DAL
Jamal Murray,32:04,9.0,22.0,40.9,2.0,7.0,28.6,0.0,0.0,0.0,1.0,4.0,5.0,6.0,1.0,2.0,2.0,2.0,20.0,12.0,12/20/2023,Toronto Raptors,41.25,LAC @ DAL
Christian Braun,16:53,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,-6.0,12/20/2023,Toronto Raptors,12.25,LAC @ DAL
Reggie Jackson,16:43,3.0,7.0,42.9,0.0,3.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,7.0,-5.0,12/20/2023,Toronto Raptors,15.0,LAC @ DAL
Peyton Watson,17:49,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,11.0,-5.0,12/20/2023,Toronto Raptors,22.0,LAC @ DAL
Julian Strawther,13:57,3.0,6.0,50.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,7.0,1.0,12/20/2023,Toronto Raptors,15.75,LAC @ DAL
Zeke Nnaji,9:55,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,-6.0,12/20/2023,Toronto Raptors,10.25,LAC @ DAL
