,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Michael Porter Jr.,30:57,9.0,14.0,64.3,4.0,6.0,66.7,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,22.0,6.0,01/05/2024,Orlando Magic,33.25,OKC @ BKN
Aaron Gordon,36:14,5.0,8.0,62.5,2.0,4.0,50.0,4.0,5.0,80.0,3.0,5.0,8.0,3.0,0.0,0.0,1.0,4.0,16.0,-4.0,01/05/2024,Orlando Magic,31.0,OKC @ BKN
Nikola Jokic,36:51,13.0,19.0,68.4,0.0,1.0,0.0,3.0,4.0,75.0,0.0,4.0,4.0,8.0,3.0,0.0,2.0,3.0,29.0,-4.0,01/05/2024,Orlando Magic,51.0,OKC @ BKN
Kentavious Caldwell-Pope,29:01,1.0,4.0,25.0,0.0,3.0,0.0,4.0,4.0,100.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,6.0,2.0,01/05/2024,Orlando Magic,15.25,OKC @ BKN
Jamal Murray,33:21,9.0,23.0,39.1,0.0,6.0,0.0,2.0,2.0,100.0,1.0,6.0,7.0,9.0,1.0,0.0,3.0,3.0,20.0,-5.0,01/05/2024,Orlando Magic,42.75,OKC @ BKN
Peyton Watson,12:47,2.0,6.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,-16.0,01/05/2024,Orlando Magic,5.25,OKC @ BKN
Christian Braun,16:20,2.0,4.0,50.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,-2.0,01/05/2024,Orlando Magic,11.0,OKC @ BKN
Reggie Jackson,17:18,5.0,12.0,41.7,1.0,5.0,20.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,11.0,1.0,01/05/2024,Orlando Magic,19.25,OKC @ BKN
Zeke Nnaji,11:09,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,3.0,2.0,01/05/2024,Orlando Magic,6.5,OKC @ BKN
Justin Holiday,10:05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,01/05/2024,Orlando Magic,2.75,OKC @ BKN
Braxton Key,5:57,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,01/05/2024,Orlando Magic,7.5,OKC @ BKN
