,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Jason Siggers,25:56,5.0,14.0,35.7,0.0,4.0,0.0,2.0,3.0,66.7,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,12.0,-26.0,10/06/2022,Portland Trail Blazers,16.75
Willy Workman,27:14,2.0,9.0,22.2,0.0,2.0,0.0,3.0,4.0,75.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,7.0,-32.0,10/06/2022,Portland Trail Blazers,9.75
Anthony Morse,14:41,5.0,8.0,62.5,0.0,1.0,0.0,3.0,6.0,50.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,13.0,-19.0,10/06/2022,Portland Trail Blazers,17.5
Rom Geffen,19:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,-16.0,10/06/2022,Portland Trail Blazers,9.25
Norris  Cole,31:08,8.0,15.0,53.3,3.0,7.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,2.0,19.0,-52.0,10/06/2022,Portland Trail Blazers,34.0
Terrence Jones,17:18,2.0,7.0,28.6,0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,9.0,2.0,1.0,0.0,0.0,3.0,4.0,-19.0,10/06/2022,Portland Trail Blazers,20.25
Alex Leder,20:14,1.0,9.0,11.1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,4.0,2.0,-23.0,10/06/2022,Portland Trail Blazers,8.5
Briante Weber,15:43,4.0,8.0,50.0,2.0,2.0,100.0,3.0,4.0,75.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,13.0,-1.0,10/06/2022,Portland Trail Blazers,23.5
Jordan Lewis,12:50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,-8.0,10/06/2022,Portland Trail Blazers,6.0
Sindarius Thornwell,19:42,1.0,6.0,16.7,1.0,5.0,20.0,1.0,2.0,50.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,4.0,-22.0,10/06/2022,Portland Trail Blazers,9.0
Jeff Adrien,15:05,1.0,1.0,100.0,0.0,0.0,0.0,5.0,6.0,83.3,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,7.0,-17.0,10/06/2022,Portland Trail Blazers,8.5
Daniel Hillel,3:24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-5.0,10/06/2022,Portland Trail Blazers,2.25
Leandro Garcia Morales,6:02,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-8.0,10/06/2022,Portland Trail Blazers,-1.0
Ziv Maoz,2:18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,10/06/2022,Portland Trail Blazers,1.0
Jonathan Holton,2:56,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,-6.0,10/06/2022,Portland Trail Blazers,1.5
Niv Avidan,2:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,10/06/2022,Portland Trail Blazers,1.25
Gilad Melnik,2:45,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,10/06/2022,Portland Trail Blazers,0.0
