,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Luguentz Dort,32:38,9.0,18.0,50.0,2.0,8.0,25.0,2.0,3.0,66.7,3.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,22.0,-8.0,11/12/2021,Sacramento Kings,36.25
Darius Bazley,33:15,6.0,8.0,75.0,2.0,3.0,66.7,1.0,2.0,50.0,2.0,6.0,8.0,0.0,0.0,2.0,1.0,1.0,15.0,-1.0,11/12/2021,Sacramento Kings,29.5
Jeremiah Robinson-Earl,29:20,1.0,9.0,11.1,0.0,1.0,0.0,0.0,0.0,0.0,4.0,10.0,14.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,11/12/2021,Sacramento Kings,25.0
Josh Giddey,24:36,3.0,8.0,37.5,1.0,1.0,100.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,7.0,0.0,11/12/2021,Sacramento Kings,20.75
Shai Gilgeous-Alexander,34:59,9.0,24.0,37.5,2.0,8.0,25.0,2.0,2.0,100.0,0.0,2.0,2.0,3.0,2.0,0.0,4.0,5.0,22.0,-8.0,11/12/2021,Sacramento Kings,32.0
Aleksej Pokusevski,15:45,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,3.0,3.0,6.0,2.0,0.0,2.0,1.0,0.0,1.0,-9.0,11/12/2021,Sacramento Kings,15.0
Derrick Favors,13:51,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,11/12/2021,Sacramento Kings,9.75
Tre Mann,18:59,5.0,8.0,62.5,1.0,1.0,100.0,1.0,2.0,50.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,4.0,12.0,4.0,11/12/2021,Sacramento Kings,17.5
Kenrich Williams,18:21,3.0,5.0,60.0,1.0,2.0,50.0,2.0,2.0,100.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,2.0,9.0,13.0,11/12/2021,Sacramento Kings,17.75
Ty Jerome,6:16,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,11/12/2021,Sacramento Kings,3.25
Mike Muscala,12:00,2.0,4.0,50.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,11/12/2021,Sacramento Kings,10.75
