,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Johnny Cueto, W (4-4)", 6 ,7,1,1,2,5,0,2.80,26,118,74,49,4,21,7,12,2,0,57,,,0.128, 0.95, 0.07%, 0.85, 2.1,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Jimmy Lambert, 1 ,1,0,0,0,2,0,2.79,4,16,11,5,2,4,0,2,1,0,,0,0,0.003, 0.06, 0.00%, 0.05, 0.5,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Tanner Banks, 1 ,2,0,0,0,1,0,3.11,5,23,16,8,2,6,2,2,1,0,,0,0,0.002, 0.06, 0.00%, 0.05, 0.5,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Jose Ruiz, 1 ,1,1,1,0,0,1,3.82,4,8,6,4,0,2,1,3,1,0,,0,0,0.000, 0.00, 0.00%, 0.00, -0.5,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
