,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Bojan Bogdanovic,31:49,8.0,12.0,66.7,4.0,7.0,57.1,4.0,4.0,100.0,0.0,6.0,6.0,2.0,0.0,0.0,3.0,5.0,24.0,4.0,04/21/2022,35.0
Royce O'Neale,31:51,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,4.0,2.0,-13.0,04/21/2022,7.5
Rudy Gobert,29:06,6.0,6.0,100.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,4.0,15.0,-16.0,04/21/2022,25.75
Donovan Mitchell,38:45,10.0,21.0,47.6,1.0,8.0,12.5,11.0,12.0,91.7,0.0,2.0,2.0,6.0,0.0,1.0,2.0,4.0,32.0,4.0,04/21/2022,45.0
Mike Conley,35:11,6.0,14.0,42.9,2.0,7.0,28.6,7.0,8.0,87.5,0.0,2.0,2.0,6.0,2.0,1.0,4.0,5.0,21.0,-16.0,04/21/2022,37.5
Hassan Whiteside,7:16,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0,04/21/2022,5.25
Jordan Clarkson,30:10,5.0,9.0,55.6,1.0,3.0,33.3,3.0,3.0,100.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,14.0,0.0,04/21/2022,20.75
Danuel House Jr.,19:15,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,2.0,0.0,2.0,-3.0,04/21/2022,11.5
Juancho Hernangomez,6:20,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-8.0,04/21/2022,1.5
Eric Paschall,10:17,2.0,3.0,66.7,1.0,2.0,50.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,9.0,04/21/2022,7.75
