,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Bojan Bogdanovic,35:34,7.0,15.0,46.7,3.0,6.0,50.0,2.0,4.0,50.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,5.0,19.0,0.0,04/28/2022,28.0
Royce O'Neale,33:07,4.0,9.0,44.4,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,1.0,1.0,0.0,4.0,8.0,11.0,04/28/2022,19.5
Rudy Gobert,35:37,3.0,6.0,50.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,04/28/2022,25.0
Donovan Mitchell,38:51,9.0,17.0,52.9,2.0,7.0,28.6,3.0,4.0,75.0,1.0,7.0,8.0,9.0,0.0,1.0,5.0,2.0,23.0,3.0,04/28/2022,47.0
Mike Conley,31:02,4.0,10.0,40.0,1.0,6.0,16.7,2.0,2.0,100.0,0.0,4.0,4.0,8.0,1.0,1.0,3.0,2.0,11.0,2.0,04/28/2022,31.0
Hassan Whiteside,8:25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,04/28/2022,5.0
Jordan Clarkson,29:27,5.0,15.0,33.3,2.0,6.0,33.3,3.0,4.0,75.0,4.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,15.0,-5.0,04/28/2022,26.5
Danuel House Jr.,14:54,2.0,6.0,33.3,0.0,3.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,-14.0,04/28/2022,7.5
Juancho Hernangomez,9:09,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,-5.0,04/28/2022,8.25
Eric Paschall,3:54,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,04/28/2022,5.25
