,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Bojan Bogdanovic,38:47,4.0,10.0,40.0,1.0,5.0,20.0,3.0,4.0,75.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,5.0,12.0,-4.0,04/23/2022,20.0
Royce O'Neale,33:18,3.0,8.0,37.5,1.0,6.0,16.7,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,1.0,7.0,-5.0,04/23/2022,19.5
Rudy Gobert,32:24,4.0,8.0,50.0,0.0,0.0,0.0,9.0,18.0,50.0,10.0,5.0,15.0,1.0,0.0,0.0,2.0,4.0,17.0,1.0,04/23/2022,36.25
Donovan Mitchell,37:48,7.0,21.0,33.3,2.0,10.0,20.0,7.0,9.0,77.8,1.0,5.0,6.0,7.0,2.0,0.0,1.0,3.0,23.0,-4.0,04/23/2022,45.5
Mike Conley,23:59,2.0,8.0,25.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,6.0,-4.0,04/23/2022,15.0
Hassan Whiteside,13:30,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,04/23/2022,16.25
Jordan Clarkson,36:09,9.0,16.0,56.3,3.0,5.0,60.0,4.0,5.0,80.0,1.0,3.0,4.0,0.0,1.0,0.0,3.0,3.0,25.0,18.0,04/23/2022,32.0
Danuel House Jr.,12:46,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,-2.0,04/23/2022,4.0
Juancho Hernangomez,9:13,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,04/23/2022,8.25
Eric Paschall,2:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,04/23/2022,1.25
