,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Saddiq Bey,30:06,2.0,7.0,28.6,1.0,6.0,16.7,4.0,4.0,100.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,9.0,-22.0,01/05/2024,Indiana Pacers,17.0,PHX @ LAC
Jalen Johnson,29:02,5.0,11.0,45.5,1.0,4.0,25.0,1.0,1.0,100.0,1.0,7.0,8.0,3.0,1.0,0.0,0.0,1.0,12.0,-26.0,01/05/2024,Indiana Pacers,29.0,PHX @ LAC
Clint Capela,19:27,4.0,9.0,44.4,0.0,0.0,0.0,1.0,2.0,50.0,5.0,2.0,7.0,0.0,0.0,1.0,1.0,2.0,9.0,-22.0,01/05/2024,Indiana Pacers,19.25,PHX @ LAC
Dejounte Murray,34:20,13.0,19.0,68.4,2.0,3.0,66.7,2.0,2.0,100.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,30.0,-20.0,01/05/2024,Indiana Pacers,34.75,PHX @ LAC
Trae Young,28:00,4.0,18.0,22.2,1.0,11.0,9.1,4.0,5.0,80.0,0.0,2.0,2.0,6.0,2.0,0.0,3.0,2.0,13.0,-28.0,01/05/2024,Indiana Pacers,27.5,PHX @ LAC
Trent Forrest,14:23,2.0,4.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,6.0,-11.0,01/05/2024,Indiana Pacers,12.5,PHX @ LAC
Bogdan Bogdanovic,23:22,3.0,14.0,21.4,1.0,9.0,11.1,9.0,10.0,90.0,0.0,4.0,4.0,3.0,2.0,0.0,3.0,2.0,16.0,-18.0,01/05/2024,Indiana Pacers,28.5,PHX @ LAC
Onyeka Okongwu,20:47,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,4.0,2.0,6.0,1.0,0.0,1.0,0.0,1.0,3.0,-8.0,01/05/2024,Indiana Pacers,14.0,PHX @ LAC
Garrison Mathews,19:27,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,6.0,-9.0,01/05/2024,Indiana Pacers,13.25,PHX @ LAC
Seth Lundy,7:02,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,01/05/2024,Indiana Pacers,3.5,PHX @ LAC
AJ Griffin,7:02,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,-2.0,01/05/2024,Indiana Pacers,2.5,PHX @ LAC
Bruno Fernando,7:02,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,-2.0,01/05/2024,Indiana Pacers,10.5,PHX @ LAC
