,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Brandon Ingram,30:28,3.0,9.0,33.3,0.0,1.0,0.0,6.0,7.0,85.7,0.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,12.0,-12.0,01/05/2024,LA Clippers,18.25,OKC @ BKN
Zion Williamson,19:25,3.0,9.0,33.3,0.0,0.0,0.0,6.0,8.0,75.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,3.0,12.0,-17.0,01/05/2024,LA Clippers,24.5,OKC @ BKN
Jonas Valanciunas,22:37,6.0,12.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,4.0,7.0,11.0,1.0,0.0,1.0,3.0,2.0,13.0,-7.0,01/05/2024,LA Clippers,29.25,OKC @ BKN
Herbert Jones,25:15,3.0,6.0,50.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,9.0,-10.0,01/05/2024,LA Clippers,16.5,OKC @ BKN
CJ McCollum,31:11,4.0,13.0,30.8,4.0,9.0,44.4,0.0,0.0,0.0,1.0,5.0,6.0,3.0,1.0,0.0,1.0,3.0,12.0,-10.0,01/05/2024,LA Clippers,27.5,OKC @ BKN
Naji Marshall,17:28,4.0,9.0,44.4,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,9.0,3.0,01/05/2024,LA Clippers,15.75,OKC @ BKN
Jose Alvarado,18:41,1.0,7.0,14.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,-9.0,01/05/2024,LA Clippers,8.25,OKC @ BKN
Larry Nance Jr.,18:54,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,7.0,-21.0,01/05/2024,LA Clippers,20.0,OKC @ BKN
Trey Murphy III,16:51,1.0,9.0,11.1,1.0,6.0,16.7,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,-15.0,01/05/2024,LA Clippers,9.5,OKC @ BKN
Dyson Daniels,26:12,1.0,4.0,25.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,-6.0,01/05/2024,LA Clippers,18.25,OKC @ BKN
Cody Zeller,6:29,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,12.0,01/05/2024,LA Clippers,7.75,OKC @ BKN
Jordan Hawkins,6:29,4.0,7.0,57.1,3.0,3.0,100.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,01/05/2024,LA Clippers,15.75,OKC @ BKN
