,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Brandon Ingram,32:17,7.0,11.0,63.6,1.0,3.0,33.3,4.0,5.0,80.0,0.0,4.0,4.0,7.0,2.0,0.0,3.0,3.0,19.0,13.0,01/03/2024,Minnesota Timberwolves,37.5,OKC @ BKN
Zion Williamson,28:37,11.0,15.0,73.3,0.0,0.0,0.0,5.0,6.0,83.3,1.0,3.0,4.0,6.0,1.0,1.0,2.0,3.0,27.0,20.0,01/03/2024,Minnesota Timberwolves,44.0,OKC @ BKN
Jonas Valanciunas,20:22,2.0,5.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,3.0,0.0,0.0,1.0,5.0,4.0,14.0,01/03/2024,Minnesota Timberwolves,16.75,OKC @ BKN
Herbert Jones,36:53,6.0,11.0,54.5,4.0,5.0,80.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,16.0,10.0,01/03/2024,Minnesota Timberwolves,27.25,OKC @ BKN
CJ McCollum,29:40,8.0,16.0,50.0,4.0,6.0,66.7,4.0,4.0,100.0,0.0,3.0,3.0,5.0,0.0,1.0,2.0,2.0,24.0,12.0,01/03/2024,Minnesota Timberwolves,38.25,OKC @ BKN
Naji Marshall,14:08,1.0,4.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,2.0,-10.0,01/03/2024,Minnesota Timberwolves,6.5,OKC @ BKN
Jose Alvarado,27:03,3.0,8.0,37.5,2.0,6.0,33.3,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,1.0,3.0,8.0,2.0,01/03/2024,Minnesota Timberwolves,18.75,OKC @ BKN
Larry Nance Jr.,22:26,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,2.0,1.0,1.0,0.0,1.0,8.0,-2.0,01/03/2024,Minnesota Timberwolves,26.25,OKC @ BKN
Jordan Hawkins,2:53,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,01/03/2024,Minnesota Timberwolves,2.0,OKC @ BKN
Dyson Daniels,23:31,2.0,3.0,66.7,1.0,1.0,100.0,2.0,2.0,100.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0,-1.0,01/03/2024,Minnesota Timberwolves,17.25,OKC @ BKN
Cody Zeller,2:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,01/03/2024,Minnesota Timberwolves,2.75,OKC @ BKN
