IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
 5.1,5,3,3,0,5,1,3.56,22,89,65,38,10,17,5,11,7,0,51,,,0.122, 0.87, 0.03%, 0.35, 0.9,73° F, Wind 0mph, In Dome.
 0.2,1,0,0,1,0,0,0.57,4,12,6,4,1,1,0,3,2,0,,2,2,-0.111, 2.38,-0.03%, 0.97, -0.8,73° F, Wind 0mph, In Dome.
 2 ,2,1,1,0,1,0,1.93,8,29,19,10,3,6,5,2,2,0,,0,0,-0.096, 1.47,-0.02%, 0.60, 0.1,73° F, Wind 0mph, In Dome.
 1 ,0,0,0,0,3,0,2.89,3,12,10,3,5,2,0,0,0,0,,0,0,0.041, 0.53, 0.01%, 0.22, 0.5,73° F, Wind 0mph, In Dome.
