,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Cristian Javier, L (6-6)", 5 ,5,3,3,1,6,2,3.26,21,92,61,35,12,14,6,8,2,0,50,,,-0.124, 0.76,-0.02%, 0.22, -0.5,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Seth Martinez, 1.1,1,1,1,0,1,0,2.17,5,15,12,6,2,4,2,2,0,0,,0,0,0.045, 0.75, 0.01%, 0.22, 0.5,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Phil Maton, 0.2,2,0,0,0,1,0,3.46,4,17,10,5,1,4,1,2,1,0,,1,1,-0.074, 0.77,-0.01%, 0.22, -0.5,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
Ryne Stanek, 1 ,0,0,0,0,3,0,0.76,3,13,9,3,4,2,0,0,0,0,,0,0,0.014, 0.17, 0.00%, 0.05, 0.5,68° F, Wind 12mph out to Rightfield, Sunny, No Precipitation.
