,INT,INT TD,INT Yds,Lng
 Xavien Howard ,10,0,77,29
 J.C. Jackson ,9,0,80,30
 Tyrann Mathieu ,6,1,70,25
 Quandre Diggs ,5,0,57,32
 Justin Simmons ,5,0,90,46
 Harrison Smith ,5,0,33,16
 Malcolm Butler ,4,0,111,68
 Carlton Davis ,4,0,42,34
 Minkah Fitzpatrick ,4,1,77,37
 Kendall Fuller ,4,0,0,0
 Amani Hooker ,4,0,11,6
 Kenny Moore II ,4,1,45,29
 Marcus Peters ,4,0,17,12
 Darnell Savage ,4,0,13,9
 Darious Williams ,4,0,21,19
 Jessie Bates ,3,0,12,12
 Tyus Bowser ,3,0,53,25
 James Bradberry ,3,0,19,19
 Kamren Curl ,3,1,88,76
 Michael Davis ,3,1,86,78
 Pierre Desir ,3,1,58,35
 Trevon Diggs ,3,0,43,33
 Jordan Fuller ,3,0,45,37
 Shaquill Griffin ,3,0,20,16
 Jeff Heath ,3,0,89,47
