,FF,FR,FR TD
 Marlon Humphrey ,8,0,0
 Haason Reddick ,6,0,0
 Aaron Donald ,4,1,0
 Myles Garrett ,4,2,0
 Javelin Guidry ,4,0,0
 Demarcus Lawrence ,4,1,0
 Yannick Ngakoue ,4,0,0
 Michael Ojemudia ,4,0,0
 Foye Oluokun ,4,1,0
 Marcus Peters ,4,1,0
 Jason Pierre-Paul ,4,2,0
 Za'Darius Smith ,4,2,0
 Chase Young ,4,3,1
 Tarell Basham ,3,0,0
 Vonn Bell ,3,2,0
 Brian Burns ,3,0,0
 Jamie Collins ,3,1,0
 Lavonte David ,3,2,0
 Randy Gregory ,3,0,0
 Eddie Jackson ,3,1,1
 Darius Leonard ,3,2,0
 Khalil Mack ,3,2,0
 Terrance Mitchell ,3,0,0
 Emmanuel Ogbah ,3,0,0
 Romeo Okwara ,3,1,0
