Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
84,1,84,1,1,1,84,1,0
23.5,4,94,1,1,1,73,4,2
17.3,20,346,1,4,3,70,11,0
15.8,16,253,1,3,2,83,14,2
15.6,9,140,1,1,1,91,8,0
13,2,26,0,0,0,16,2,0
13,3,39,0,1,0,21,3,0
12.7,14,178,1,1,1,74,14,2
12.5,15,187,0,3,0,20,14,0
12.4,9,112,0,1,0,20,14,0
12.2,17,207,0,2,1,42,5,2
12,1,12,0,0,0,12,1,1
12,1,12,0,0,0,12,1,0
11.5,23,265,0,3,0,32,10,1
11.5,4,46,0,0,0,19,2,0
11.4,29,330,1,3,1,88,8,2
11.1,11,122,0,0,0,19,5,0
11,5,55,0,1,0,32,3,0
11,1,11,0,0,0,11,0,0
11,4,44,0,0,0,13,1,0
10.3,29,298,0,2,2,57,19,2
10.1,23,232,0,3,0,29,20,1
10,30,300,0,3,0,26,14,0
9.9,29,286,0,4,0,38,12,2
9.2,12,111,0,1,0,20,14,1
