,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
 CeeDee Lamb ,47,1,47,1,1,1,47,0,0
 A.J. Brown ,42,1,42,1,1,1,42,0,0
 Rico Dowdle ,38,4,152,0,4,1,64,0,0
 Byron Pringle ,32.4,10,324,1,8,1,102,0,0
 JoJo Natson ,31,1,31,0,1,0,31,0,0
 Andre Roberts ,30,32,961,0,29,5,60,0,1
 Marquise Brown ,30,1,30,0,1,0,30,0,0
 Trenton Cannon ,29.8,10,298,0,8,1,98,0,0
 Rashad Fenton ,29.7,3,89,0,2,1,44,0,0
 Tommylee Lewis ,29.7,3,89,0,3,0,34,0,0
 Cordarrelle Patterson ,29.1,35,1017,1,31,6,104,0,0
 Nasir Adderley ,28.9,11,318,0,6,2,76,0,0
 Isaiah Rodgers ,28.8,24,692,1,21,1,101,0,0
 Ty Montgomery ,28.5,2,57,0,2,0,33,0,0
 Armani Watts ,28,1,28,0,1,0,28,0,0
 Jamal Agnew ,28,28,783,0,22,3,71,0,0
 Devin Duvernay ,27.5,21,578,1,16,1,93,0,0
 D.J. Reed ,27.4,5,137,0,5,1,49,0,0
 Deonte Harty ,27.2,16,436,0,13,1,75,0,1
 C.J. Board ,27,2,54,0,2,0,34,0,0
 Keelan Cole ,26.7,3,80,0,2,1,40,0,0
 Chris Rowland ,26.5,2,53,0,2,0,27,0,0
 Brandon Wilson ,26.2,24,629,1,13,5,103,0,0
 Jonathan Owens ,26,1,26,0,1,0,26,0,0
 D'Ernest Johnson ,25.1,14,351,0,10,1,43,0,0
