,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
 Isaiah McKenzie ,84,1,84,1,1,1,84,1,0
 Jalen Reagor ,23.5,4,94,1,1,1,73,4,2
 Gunner Olszewski ,17.3,20,346,1,4,3,70,11,0
 Diontae Spencer ,15.8,16,253,1,3,2,83,14,2
 Keelan Cole ,15.6,9,140,1,1,1,91,8,0
 Brandon Aiyuk ,13,2,26,0,0,0,16,2,0
 Danny Amendola ,13,3,39,0,1,0,21,3,0
 Jamal Agnew ,12.7,14,178,1,1,1,74,14,2
 Jabrill Peppers ,12.5,15,187,0,3,0,20,14,0
 Trent Taylor ,12.4,9,112,0,1,0,20,14,0
 Deonte Harty ,12.2,17,207,0,2,1,42,5,2
 Malcolm Perry ,12,1,12,0,0,0,12,1,1
 Isaiah Rodgers ,12,1,12,0,0,0,12,1,0
 Hunter Renfrow ,11.5,23,265,0,3,0,32,10,1
 Devin Duvernay ,11.5,4,46,0,0,0,19,2,0
 Jakeem Grant ,11.4,29,330,1,3,1,88,8,2
 Marquez Callaway ,11.1,11,122,0,0,0,19,5,0
 Anthony Miller ,11,5,55,0,1,0,32,3,0
 J.J. Taylor ,11,1,11,0,0,0,11,0,0
 Dede Westbrook ,11,4,44,0,0,0,13,1,0
 Ray-Ray McCloud ,10.3,29,298,0,2,2,57,19,2
 Alex Erickson ,10.1,23,232,0,3,0,29,20,1
 Nyheim Hines ,10,30,300,0,3,0,26,14,0
 Andre Roberts ,9.9,29,286,0,4,0,38,12,2
 David Moore ,9.2,12,111,0,1,0,20,14,1
