,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
 Tyler Bass ,101,6469,537,71,70.3,30,17.9,0,0,0,0
 Bradley Pinion ,100,6498,471,85,85,14,33.6,0,0,1,0
 Harrison Butker ,95,6119,508,72,75.8,21,24.2,0,0,2,1
 Daniel Carlson ,95,5966,748,61,64.2,32,23.4,2,0,0,0
 Justin Tucker ,95,6094,634,65,68.4,30,21.1,0,0,0,0
 Wil Lutz ,94,5929,379,71,75.5,21,18,2,0,1,0
 Jason Myers ,91,5792,815,52,57.1,38,21.4,1,0,0,0
 Jason Sanders ,91,5577,361,64,70.3,23,15.7,4,0,1,0
 Greg Zuerlein ,90,5589,583,60,66.7,27,21.6,3,1,0,0
 Stephen Gostkowski ,86,5373,715,51,59.3,32,22.3,2,0,1,0
 Cairo Santos ,86,5252,836,42,48.8,41,20.4,3,0,0,0
 Ka'imi Fairbairn ,85,5338,670,52,61.2,32,20.9,2,1,0,0
 Dan Bailey ,83,4948,649,53,63.9,25,26,5,0,0,1
 Mason Crosby ,82,5275,856,48,58.5,33,25.9,0,0,1,0
 Ty Long ,81,5187,822,49,60.5,31,26.5,1,0,0,0
 Cody Parkey ,81,5175,912,45,55.6,35,26.1,0,0,1,1
 Joey Slye ,81,5095,144,71,87.6,7,20.6,3,0,0,0
 Dustin Hopkins ,78,4808,235,65,83.3,9,26.1,4,0,0,0
 Rigoberto Sanchez ,77,4803,947,33,42.9,44,21.5,1,0,0,1
 Chris Boswell ,73,4652,613,44,60.3,28,21.9,0,0,1,0
 Jake Elliott ,73,4508,531,46,63,24,22.1,3,0,0,0
 Graham Gano ,73,4357,888,30,41.1,40,22.2,3,0,0,1
 Brandon McManus ,73,4516,484,54,74,16,30.2,4,0,0,1
 Jake Bailey ,72,4584,624,42,58.3,29,21.5,1,0,0,0
 Mitch Wishnowsky ,67,4229,583,42,62.7,23,25.4,2,0,0,0
