,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Kelly Oubre Jr.,28:43,8.0,20.0,40.0,1.0,7.0,14.3,3.0,3.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,20.0,-3.0,11/07/2022,Washington Wizards,21.25
P.J. Washington,30:28,11.0,18.0,61.1,2.0,6.0,33.3,1.0,1.0,100.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,2.0,25.0,-27.0,11/07/2022,Washington Wizards,36.5
Mason Plumlee,22:19,1.0,5.0,20.0,0.0,0.0,0.0,4.0,6.0,66.7,7.0,3.0,10.0,5.0,2.0,0.0,2.0,4.0,6.0,-6.0,11/07/2022,Washington Wizards,29.0
Terry Rozier,37:31,9.0,23.0,39.1,1.0,9.0,11.1,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,2.0,1.0,19.0,-12.0,11/07/2022,Washington Wizards,29.75
Dennis Smith Jr.,34:12,1.0,11.0,9.1,0.0,2.0,0.0,1.0,2.0,50.0,2.0,3.0,5.0,10.0,0.0,3.0,1.0,2.0,3.0,-5.0,11/07/2022,Washington Wizards,29.75
Nick Richards,23:44,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,0.0,2.0,8.0,-3.0,11/07/2022,Washington Wizards,19.5
Jalen McDaniels,27:23,4.0,9.0,44.4,1.0,4.0,25.0,0.0,1.0,0.0,2.0,5.0,7.0,1.0,3.0,2.0,1.0,3.0,9.0,5.0,11/07/2022,Washington Wizards,29.25
James Bouknight,20:24,3.0,7.0,42.9,0.0,3.0,0.0,1.0,2.0,50.0,1.0,5.0,6.0,3.0,0.0,0.0,1.0,3.0,7.0,-5.0,11/07/2022,Washington Wizards,18.5
JT Thor,10:01,1.0,2.0,50.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,12.0,11/07/2022,Washington Wizards,8.0
Theo Maledon,5:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11/07/2022,Washington Wizards,2.75
