,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
RJ Barrett,33:22,6.0,13.0,46.2,4.0,7.0,57.1,3.0,5.0,60.0,1.0,11.0,12.0,2.0,0.0,1.0,3.0,1.0,19.0,25.0,10/14/2022,Washington Wizards,39.5
Julius Randle,28:13,3.0,11.0,27.3,0.0,5.0,0.0,4.0,5.0,80.0,0.0,6.0,6.0,4.0,2.0,0.0,1.0,3.0,10.0,26.0,10/14/2022,Washington Wizards,27.0
Mitchell Robinson,29:12,9.0,12.0,75.0,0.0,0.0,0.0,2.0,4.0,50.0,9.0,3.0,12.0,0.0,2.0,2.0,0.0,1.0,20.0,26.0,10/14/2022,Washington Wizards,43.0
Jalen Brunson,31:29,10.0,16.0,62.5,3.0,5.0,60.0,4.0,4.0,100.0,2.0,2.0,4.0,5.0,1.0,0.0,3.0,2.0,27.0,27.0,10/14/2022,Washington Wizards,41.5
Evan Fournier,15:37,2.0,6.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,4.0,20.0,10/14/2022,Washington Wizards,19.75
Isaiah Hartenstein,16:57,2.0,7.0,28.6,0.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,1.0,0.0,0.0,2.0,3.0,4.0,-9.0,10/14/2022,Washington Wizards,15.75
Immanuel Quickley,20:20,3.0,9.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,3.0,0.0,0.0,1.0,1.0,6.0,-14.0,10/14/2022,Washington Wizards,21.25
Derrick Rose,14:11,1.0,5.0,20.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,-6.0,10/14/2022,Washington Wizards,8.25
Obi Toppin,17:56,3.0,9.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,-9.0,10/14/2022,Washington Wizards,17.5
Cam Reddish,9:23,1.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-8.0,10/14/2022,Washington Wizards,4.5
Quentin Grimes,15:56,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,6.0,10/14/2022,Washington Wizards,1.75
Ryan Arcidiacono,1:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,10/14/2022,Washington Wizards,1.25
Feron Hunt,1:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,10/14/2022,Washington Wizards,0.0
Jericho Sims,1:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,10/14/2022,Washington Wizards,1.5
Miles McBride,1:51,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,10/14/2022,Washington Wizards,3.5
