AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,0,1,0,0,1,4,.274,.367,.434,.801,23,14,0.019, 0.99,0.084,-0.066%, 0.02%, 1.59, -0.2,0,0,2B,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
4,0,0,0,0,1,4,.299,.353,.485,.838,11,8,-0.217, 1.90,0.000,-0.217%,-0.21%, 3.05, -1.3,2,1,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
4,0,0,0,0,4,4,.251,.342,.463,.805,18,14,-0.087, 0.83,0.000,-0.087%,-0.08%, 1.34, -0.7,8,0,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
4,1,1,1,0,2,4,.282,.348,.564,.911,17,12,0.075, 0.66,0.127,-0.052%, 0.07%, 1.06, 0.5,2,6,HR,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
4,0,1,0,0,2,4,.228,.282,.422,.704,14,11,-0.006, 0.78,0.050,-0.056%,-0.01%, 1.25, -0.3,,,2B,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
3,0,0,0,0,1,3,.114,.171,.171,.342,9,8,-0.109, 1.30,0.000,-0.109%,-0.10%, 2.09, -0.6,0,0,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
3,0,0,0,0,2,3,.262,.313,.472,.785,12,10,-0.089, 1.13,0.000,-0.089%,-0.09%, 1.81, -0.6,8,0,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
3,0,0,0,0,0,3,.294,.325,.510,.835,9,6,-0.087, 1.13,0.000,-0.087%,-0.08%, 1.81, -0.6,4,0,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
3,0,2,0,0,0,3,.169,.200,.208,.408,11,6,0.017, 0.71,0.042,-0.026%, 0.02%, 1.14, 0.1,3,4,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,1,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,80° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation.
