,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Ronald Acuna Jr. RF,3,1,0,0,1,2,4,.271,.369,.425,.795,15,9,0.060, 0.71,0.091,-0.030%, 0.04%, 0.81, 0.5,1,0,SB,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Dansby Swanson SS,4,1,1,2,0,2,4,.293,.350,.483,.833,19,11,0.070, 0.58,0.102,-0.031%, 0.05%, 0.67, 0.6,0,3,HR,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Matt Olson 1B,4,1,1,1,0,1,4,.251,.339,.481,.821,16,9,0.038, 0.62,0.089,-0.051%, 0.03%, 0.71, 0.3,13,1,HR,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Austin Riley 3B,4,0,1,0,0,0,4,.284,.347,.564,.912,13,9,-0.031, 0.44,0.008,-0.038%,-0.02%, 0.51, -0.2,1,4,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Eddie Rosario LF,4,0,0,0,0,1,4,.141,.190,.244,.434,14,7,-0.035, 0.35,0.000,-0.035%,-0.02%, 0.40, -0.6,1,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Travis d'Arnaud C,4,1,1,0,0,1,4,.262,.311,.464,.775,15,9,0.011, 0.66,0.048,-0.037%, 0.01%, 0.75, -0.3,8,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Marcell Ozuna DH,2,0,1,0,1,0,3,.227,.285,.418,.704,14,7,0.088, 0.93,0.095,-0.006%, 0.06%, 1.06, 0.7,,,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Robinson Canó 2B,3,0,0,0,0,0,3,.167,.195,.202,.398,13,8,-0.185, 1.23,0.000,-0.185%,-0.13%, 1.41, -1.7,0,3,2·GDP,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
   Orlando Arcia 2B,0,0,0,0,0,0,0,.248,.324,.360,.684,,,,,,,,,,1,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Michael Harris CF,3,1,1,2,0,1,3,.284,.318,.506,.824,17,13,0.213, 1.04,0.244,-0.031%, 0.15%, 1.19, 1.3,1,1,HR,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Kyle Wright P,,,,,,,,,,,,,,,,,,,,,1,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
   A.J. Minter P,,,,,,,,,,,,,,,,,,,,,0,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
   Kenley Jansen P,,,,,,,,,,,,,,,,,,,,,0,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
