,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Dansby Swanson SS,5,2,1,1,0,0,5,.291,.349,.479,.828,25,16,0.070, 0.94,0.120,-0.050%, 0.05%, 1.05, -0.0,0,3,2B,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
Matt Olson 1B,5,1,1,3,0,2,5,.255,.341,.488,.828,17,14,0.144, 0.88,0.214,-0.070%, 0.10%, 0.98, 0.7,10,0,HR,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
Austin Riley 3B,5,1,2,1,0,0,5,.284,.346,.577,.923,23,16,0.047, 0.46,0.089,-0.042%, 0.03%, 0.52, 0.4,0,1,"HR,2B",88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
Travis d'Arnaud C,4,0,1,1,0,1,4,.261,.310,.461,.771,11,9,0.029, 0.64,0.076,-0.047%, 0.02%, 0.71, 0.3,4,0,,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
Eddie Rosario LF,4,0,0,0,0,2,4,.134,.182,.232,.414,13,10,-0.054, 0.52,0.000,-0.054%,-0.04%, 0.58, -0.8,4,0,,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
Adam Duvall RF,3,0,1,0,0,1,4,.213,.277,.401,.678,15,10,0.008, 0.43,0.031,-0.023%, 0.01%, 0.47, 0.3,1,0,HBP,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
Marcell Ozuna DH,4,0,0,0,0,0,4,.221,.278,.407,.685,14,10,-0.048, 0.49,0.000,-0.048%,-0.03%, 0.55, -0.9,,,,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
Robinson Canó 2B,4,1,1,0,0,2,4,.170,.198,.216,.414,15,11,0.038, 0.55,0.069,-0.031%, 0.03%, 0.60, 0.0,2,4,2B,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
   Orlando Arcia 2B,0,0,0,0,0,0,0,.256,.329,.388,.716,,,,,,,,,,0,0,,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
Michael Harris CF,3,1,2,0,1,0,4,.284,.320,.503,.823,14,8,0.081, 0.77,0.096,-0.015%, 0.06%, 0.85, 1.7,6,0,"2B,3·SB",88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
Max Fried P,,,,,,,,,,,,,,,,,,,,,0,2,,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
   Jesse Chavez P,,,,,,,,,,,,,,,,,,,,,0,0,,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
   Kenley Jansen P,,,,,,,,,,,,,,,,,,,,,0,0,,88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation.
