,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Ronald Acuna Jr. DH,4,0,0,0,0,1,5,.265,.363,.413,.776,22,14,-0.048, 0.84,0.032,-0.081%,-0.03%, 0.91, -0.6,,,HBP,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
Dansby Swanson SS,3,1,2,0,1,1,4,.294,.353,.481,.833,21,11,0.043, 1.19,0.079,-0.036%, 0.03%, 1.27, 0.5,3,6,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
Matt Olson 1B,4,1,1,1,0,1,4,.255,.340,.488,.827,17,10,-0.049, 1.65,0.090,-0.139%,-0.03%, 1.78, -0.0,9,0,2B,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
Austin Riley 3B,3,1,1,0,1,2,4,.285,.348,.575,.922,15,8,0.062, 1.05,0.115,-0.053%, 0.04%, 1.13, 0.7,0,1,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
Eddie Rosario LF,3,0,0,1,0,1,4,.129,.174,.224,.397,10,8,-0.124, 1.38,0.000,-0.124%,-0.08%, 1.48, -1.1,2,0,SF,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
Adam Duvall RF,4,0,1,1,0,1,4,.213,.277,.402,.679,18,12,0.073, 0.91,0.129,-0.056%, 0.05%, 0.97, 0.6,0,0,2B,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
William Contreras C,4,0,0,0,0,1,4,.260,.345,.532,.877,9,7,-0.095, 0.88,0.000,-0.095%,-0.06%, 0.94, -0.9,7,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
Robinson Canó 2B,4,0,0,0,0,0,4,.163,.189,.207,.396,18,13,-0.024, 0.93,0.043,-0.066%,-0.01%, 1.00, -0.4,1,1,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
Michael Harris CF,4,0,1,0,0,0,4,.283,.319,.497,.816,16,10,0.001, 0.73,0.044,-0.043%, 0.00%, 0.78, -0.2,2,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
Spencer Strider P,,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
   Dylan Lee P,,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
   Tyler Matzek P,,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
