,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
OG Anunoby,25:27,3.0,9.0,33.3,0.0,5.0,0.0,2.0,2.0,100.0,2.0,7.0,9.0,3.0,1.0,0.0,3.0,0.0,8.0,-11.0,04/10/2022,24.25
Armoni Brooks,17:57,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,-12.0,04/10/2022,5.5
Khem Birch,19:06,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,4.0,-4.0,04/10/2022,15.25
Scottie Barnes,21:31,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,2.0,3.0,7.0,-7.0,04/10/2022,18.5
Gary Trent Jr.,30:55,8.0,17.0,47.1,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,17.0,-7.0,04/10/2022,20.25
Precious Achiuwa,26:08,4.0,13.0,30.8,1.0,5.0,20.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,1.0,1.0,2.0,9.0,-7.0,04/10/2022,23.5
Chris Boucher,31:44,6.0,14.0,42.9,3.0,7.0,42.9,6.0,7.0,85.7,2.0,5.0,7.0,3.0,0.0,0.0,0.0,1.0,21.0,0.0,04/10/2022,35.75
Malachi Flynn,28:02,4.0,14.0,28.6,2.0,6.0,33.3,0.0,0.0,0.0,1.0,3.0,4.0,4.0,2.0,0.0,1.0,1.0,10.0,1.0,04/10/2022,25.5
Thaddeus Young,20:05,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,5.0,16.0,04/10/2022,20.75
Yuta Watanabe,11:19,1.0,4.0,25.0,0.0,3.0,0.0,2.0,2.0,100.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,-16.0,04/10/2022,14.0
Svi Mykhailiuk,7:46,2.0,6.0,33.3,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,-8.0,04/10/2022,8.5
