,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
OG Anunoby,39:15,7.0,15.0,46.7,2.0,9.0,22.2,0.0,0.0,0.0,0.0,5.0,5.0,4.0,2.0,0.0,3.0,1.0,16.0,18.0,04/25/2022,31.75
Pascal Siakam,43:42,10.0,17.0,58.8,2.0,4.0,50.0,1.0,2.0,50.0,0.0,10.0,10.0,7.0,0.0,0.0,2.0,1.0,23.0,24.0,04/25/2022,46.0
Khem Birch,11:02,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,7.0,2.0,04/25/2022,11.75
Gary Trent Jr.,38:34,5.0,14.0,35.7,2.0,6.0,33.3,4.0,4.0,100.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,16.0,13.0,04/25/2022,26.75
Scottie Barnes,40:43,5.0,10.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,7.0,8.0,4.0,3.0,0.0,1.0,3.0,12.0,13.0,04/25/2022,33.5
Precious Achiuwa,26:46,7.0,11.0,63.6,1.0,5.0,20.0,2.0,2.0,100.0,1.0,6.0,7.0,0.0,0.0,3.0,0.0,4.0,17.0,10.0,04/25/2022,32.25
Chris Boucher,17:28,3.0,5.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,0.0,2.0,6.0,5.0,04/25/2022,16.5
Thaddeus Young,15:56,1.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,3.0,5.0,04/25/2022,12.75
Yuta Watanabe,1:19,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,04/25/2022,2.0
Malachi Flynn,1:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-3.0,04/25/2022,1.5
Dalano Banton,1:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,04/25/2022,0.0
Svi Mykhailiuk,1:19,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,04/25/2022,2.25
Armoni Brooks,1:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,04/25/2022,0.0
