,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Aaron Ashby, L (2-7)", 1 ,3,2,2,0,2,0,4.57,7,22,17,10,4,3,1,4,1,0,41,,,-0.151, 1.07,-0.10%, 1.16, -1.4,65° F, Wind 14mph in unknown direction, Cloudy, No Precipitation.
Jason Alexander, 5 ,8,7,7,2,5,2,5.60,24,95,59,32,7,20,9,8,1,0,,1,1,-0.248, 0.60,-0.16%, 0.66, -4.6,65° F, Wind 14mph in unknown direction, Cloudy, No Precipitation.
Connor Sadzeck, 2 ,1,0,0,1,2,0,0.00,7,25,15,7,2,6,1,3,1,0,,0,0,0.004, 0.05, 0.00%, 0.05, 1.0,65° F, Wind 14mph in unknown direction, Cloudy, No Precipitation.
