,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
"Corbin Burnes, W (8-4)", 6 ,5,3,3,0,11,1,2.31,24,102,69,38,16,15,5,8,3,0,61,,,-0.030, 0.71,-0.02%, 0.65, 0.1,74° F, Wind 0mph, In Dome.
Jake McGee, 1 ,1,1,1,1,1,1,6.66,5,13,6,4,2,0,0,3,0,0,,0,0,0.002, 0.22, 0.00%, 0.20, -0.5,74° F, Wind 0mph, In Dome.
Jandel Gustave, 1 ,1,0,0,0,2,0,4.10,4,19,16,10,1,5,2,0,0,0,,0,0,0.006, 0.08, 0.00%, 0.07, 0.5,74° F, Wind 0mph, In Dome.
Peter Strzelecki, 1 ,0,0,0,1,1,0,3.60,4,15,8,2,3,3,2,0,0,0,,0,0,0.003, 0.08, 0.00%, 0.07, 0.5,74° F, Wind 0mph, In Dome.
