,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Janson Junk, W (1-0)", 5 ,4,0,0,1,8,0,0.00,20,86,54,32,9,13,8,3,1,0,66,,,0.233, 0.90, 0.01%, 0.04, 2.3,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
"Andrew Wantz, H (1)", 1 ,1,0,0,0,2,0,3.38,4,14,9,5,2,2,2,0,0,0,,1,0,0.137, 2.00, 0.00%, 0.10, 0.9,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Aaron Loup, 1 ,0,0,0,0,1,0,4.67,3,7,6,2,2,2,2,0,0,0,,0,0,0.039, 0.50, 0.00%, 0.02, 0.5,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Ryan Tepera, 1 ,1,0,0,0,1,0,3.89,4,14,10,7,2,1,1,2,0,0,,0,0,0.032, 0.81, 0.00%, 0.04, 0.5,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Raisel Iglesias, 1 ,1,0,0,0,1,0,4.24,4,12,10,5,2,3,0,3,1,0,,0,0,0.021, 0.47, 0.00%, 0.02, 0.5,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
