,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
Marco Gonzales, 6 ,11,5,5,2,4,0,3.50,28,93,63,36,11,16,8,14,9,0,32,,,-0.248, 0.58,-0.16%, 0.63, -1.9,75° F, Wind 0mph, In Dome.
"Matthew Festa, W (2-0)", 1 ,0,0,0,0,2,0,3.97,3,13,9,4,2,3,0,1,0,0,,0,0,0.025, 0.32, 0.02%, 0.34, 0.5,75° F, Wind 0mph, In Dome.
"Andres Munoz, H (10)", 1 ,0,0,0,0,1,0,3.00,3,12,9,6,2,1,2,0,0,0,,0,0,0.144, 1.87, 0.09%, 2.01, 0.5,75° F, Wind 0mph, In Dome.
"Diego Castillo, S (6)", 1 ,1,0,0,1,1,0,3.93,5,14,9,6,1,2,1,2,1,0,,0,0,0.205, 3.96, 0.13%, 4.25, 0.5,75° F, Wind 0mph, In Dome.
