,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Chris Flexen, W (6-8)", 6 ,6,1,1,2,1,0,3.84,27,85,55,36,6,13,10,13,6,0,55,,,0.192, 0.97, 0.11%, 0.90, 1.9,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Ryan Borucki, 0.2,0,0,0,1,0,0,5.09,3,10,3,2,0,1,1,1,0,0,,0,0,0.019, 0.43, 0.01%, 0.40, 0.3,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Andres Munoz, 1.1,1,0,0,0,1,0,3.09,4,13,9,5,3,1,0,3,1,0,,1,0,0.040, 0.38, 0.02%, 0.35, 0.7,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Penn Murfee, 0.2,3,3,3,0,1,1,2.80,5,20,15,11,1,3,0,4,1,0,,0,0,-0.007, 0.23,-0.00%, 0.21, -2.6,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
"Paul Sewald, S (11)", 0.1,0,0,0,0,0,0,2.41,1,4,3,1,2,0,0,1,0,0,,0,0,0.014, 0.54, 0.01%, 0.50, 0.1,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
