,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
"Robbie Ray, W (8-6)", 6.2,6,3,3,0,12,2,3.54,26,106,74,43,20,11,5,9,5,0,62,,,0.060, 0.83, 0.04%, 0.90, 0.4,75° F, Wind 0mph, In Dome.
"Erik Swanson, H (6)", 0.1,0,0,0,0,1,0,0.72,1,3,3,1,2,0,0,0,0,0,,1,0,0.052, 1.83, 0.03%, 1.97, 0.2,75° F, Wind 0mph, In Dome.
Matt Brash, 1 ,0,0,0,0,1,0,6.56,3,14,11,5,4,2,1,1,0,0,,0,0,0.015, 0.20, 0.01%, 0.22, 0.5,75° F, Wind 0mph, In Dome.
Penn Murfee, 1 ,0,0,0,0,3,0,2.72,3,17,10,4,4,2,0,0,0,0,,0,0,0.008, 0.11, 0.01%, 0.12, 0.5,75° F, Wind 0mph, In Dome.
