IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
 3.2,4,1,1,1,3,1,3.79,16,76,47,33,6,8,3,9,3,0,51,,,0.055, 0.97, 0.03%, 1.01, 0.7,75° F, Wind 0mph, In Dome.
 1.1,0,0,0,2,1,0,4.74,6,27,14,7,2,5,3,0,0,0,,1,0,0.112, 1.71, 0.07%, 1.79, 0.8,75° F, Wind 0mph, In Dome.
 1 ,1,0,0,0,3,0,2.65,4,19,14,5,5,4,0,1,0,0,,0,0,0.075, 1.47, 0.05%, 1.54, 0.5,75° F, Wind 0mph, In Dome.
 1 ,2,1,1,1,1,0,6.66,6,22,13,7,2,4,0,4,2,0,,0,0,0.003, 0.97, 0.00%, 1.02, -0.5,75° F, Wind 0mph, In Dome.
 1 ,0,0,0,0,1,0,3.65,3,9,8,4,4,0,1,1,1,0,,0,0,0.029, 0.38, 0.02%, 0.40, 0.5,75° F, Wind 0mph, In Dome.
 1 ,0,0,0,1,1,0,2.45,4,19,11,4,2,5,0,2,0,0,,0,0,0.019, 0.42, 0.01%, 0.44, 0.5,75° F, Wind 0mph, In Dome.
