,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Marco Gonzales, W (6-10)", 7 ,4,2,2,1,5,0,3.66,25,88,56,34,10,12,6,13,5,0,65,,,0.087, 1.20, 0.05%, 1.24, 1.5,77° F, Wind 0mph, Sunny, No Precipitation.
"Erik Swanson, H (7)", 0.1,1,0,0,0,0,0,1.24,3,10,6,4,1,1,1,2,1,0,,0,0,-0.076, 1.47,-0.05%, 1.52, -0.4,77° F, Wind 0mph, Sunny, No Precipitation.
"Andres Munoz, H (13)", 0.2,0,0,0,0,0,0,2.72,2,9,5,3,1,1,0,2,0,0,,2,0,0.150, 3.12, 0.09%, 3.23, 0.9,77° F, Wind 0mph, Sunny, No Precipitation.
"Matthew Festa, S (2)", 1 ,1,0,0,1,1,0,3.45,5,18,13,7,4,2,2,1,0,0,,0,0,0.073, 1.71, 0.04%, 1.77, 0.5,77° F, Wind 0mph, Sunny, No Precipitation.
