,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Tommy La Stella 3B,5,0,0,0,0,2,5,.231,.270,.359,.629,20,16,-0.165, 1.22,0.000,-0.165%,-0.06%, 0.78, -1.3,1,0,,72° F, Wind 1mph in unknown direction, In Dome.
Joc Pederson LF,2,0,0,0,0,0,2,.244,.319,.496,.815,8,6,-0.045, 0.88,0.000,-0.045%,-0.02%, 0.56, -0.4,0,0,,72° F, Wind 1mph in unknown direction, In Dome.
   Austin Slater PH-CF,2,1,1,0,0,0,2,.287,.394,.439,.833,5,4,0.000, 0.94,0.034,-0.034%,0%, 0.60, 0.2,1,0,2B,72° F, Wind 1mph in unknown direction, In Dome.
Wilmer Flores 2B,4,1,1,0,0,0,4,.245,.326,.437,.763,20,12,0.017, 0.99,0.085,-0.068%, 0.01%, 0.63, 0.1,0,2,2B,72° F, Wind 1mph in unknown direction, In Dome.
Brandon Belt 1B,3,0,1,1,1,1,4,.234,.339,.401,.740,20,10,-0.032, 1.03,0.065,-0.097%,-0.01%, 0.66, 0.2,10,1,,72° F, Wind 1mph in unknown direction, In Dome.
Luis Gonzalez RF-LF-RF,3,1,0,0,1,1,4,.289,.355,.418,.773,23,14,0.037, 1.40,0.125,-0.088%, 0.01%, 0.89, 0.3,0,0,,72° F, Wind 1mph in unknown direction, In Dome.
Thairo Estrada SS,4,0,3,1,0,1,4,.262,.315,.411,.726,13,10,0.297, 1.43,0.308,-0.011%, 0.11%, 0.91, 1.9,2,2,"2B,SB",72° F, Wind 1mph in unknown direction, In Dome.
Mike Yastrzemski CF-RF,2,0,0,0,0,1,2,.230,.325,.403,.728,8,5,-0.061, 1.12,0.000,-0.061%,-0.02%, 0.72, -0.6,1,0,,72° F, Wind 1mph in unknown direction, In Dome.
   Darin Ruf PH-LF,2,0,0,0,0,0,2,.222,.331,.383,.714,7,4,-0.138, 2.42,0.000,-0.138%,-0.05%, 1.55, -0.8,1,0,,72° F, Wind 1mph in unknown direction, In Dome.
LaMonte Wade Jr. DH,2,0,1,0,0,1,2,.182,.297,.338,.634,7,4,-0.001, 0.96,0.029,-0.030%,0%, 0.61, 0.0,,,,72° F, Wind 1mph in unknown direction, In Dome.
   Yermin Mercedes PH-DH-DH,1,0,0,0,1,0,2,.234,.345,.404,.750,6,2,0.017, 2.12,0.078,-0.061%, 0.01%, 1.35, 0.0,,,,72° F, Wind 1mph in unknown direction, In Dome.
Austin Wynns C,4,0,0,0,0,0,4,.208,.266,.278,.544,21,14,-0.202, 2.10,0.000,-0.202%,-0.08%, 1.34, -1.2,7,1,,72° F, Wind 1mph in unknown direction, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 1mph in unknown direction, In Dome.
Logan Webb P,,,,,,,,,,,,,,,,,,,,,1,1,,72° F, Wind 1mph in unknown direction, In Dome.
   Sam Long P,,,,,,,,,,,,,,,,,,,,,0,1,,72° F, Wind 1mph in unknown direction, In Dome.
   Tyler Rogers P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 1mph in unknown direction, In Dome.
