AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,1,1,0,1,0,5,.190,.304,.310,.615,21,11,-0.076, 1.50,0.067,-0.143%,-0.04%, 1.22, -0.1,10,1,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
3,0,0,0,0,0,3,.256,.332,.529,.861,10,6,-0.071, 0.90,0.000,-0.071%,-0.03%, 0.73, -0.6,0,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
2,1,1,0,0,1,2,.224,.335,.353,.688,7,5,-0.009, 2.73,0.090,-0.098%,-0.00%, 2.21, 0.4,1,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
4,1,2,1,0,0,4,.253,.340,.440,.780,17,11,0.237, 1.42,0.282,-0.045%, 0.11%, 1.15, 1.6,2,3,2·2B,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
3,0,3,0,0,0,3,.232,.351,.394,.745,10,7,0.152, 1.07,0.152,0.000%, 0.07%, 0.87, 1.3,,,2B,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
1,0,0,1,0,0,1,.275,.389,.443,.831,7,5,-0.103, 3.73,0.000,-0.103%,-0.05%, 3.02, -0.3,,,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
3,0,0,1,1,0,4,.302,.365,.444,.808,17,10,-0.037, 2.00,0.055,-0.092%,-0.02%, 1.62, -0.3,1,0,SB,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
2,0,0,0,2,1,4,.231,.355,.385,.739,19,9,0.085, 2.43,0.166,-0.081%, 0.04%, 1.96, 0.1,0,1,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
4,0,0,0,0,1,4,.217,.303,.340,.644,13,8,-0.510, 2.75,0.000,-0.510%,-0.25%, 2.23, -2.5,5,7,GDP,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
4,0,1,0,0,1,4,.231,.329,.400,.729,15,12,0.053, 1.67,0.134,-0.081%, 0.03%, 1.35, -0.2,1,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
3,0,0,0,0,1,3,.155,.293,.291,.584,11,6,-0.053, 0.71,0.000,-0.053%,-0.03%, 0.57, -0.4,6,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
1,0,0,0,0,0,1,.217,.308,.304,.612,5,4,-0.125, 5.40,0.000,-0.125%,-0.06%, 4.37, -0.4,,,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
0,0,0,0,0,0,0,.256,.309,.398,.707,,,,,,,,,,,,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,1,2,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
