AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,1,2,0,0,1,4,.256,.354,.349,.702,13,11,0.205, 1.58,0.249,-0.045%, 0.02%, 0.25, 1.2,1,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
3,0,0,0,1,1,4,.211,.249,.371,.621,24,16,-0.094, 1.56,0.011,-0.105%,-0.01%, 0.25, -0.7,1,3,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
4,0,1,0,0,0,4,.268,.297,.399,.696,14,9,-0.029, 1.43,0.075,-0.104%,-0.00%, 0.23, -0.4,0,2,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
4,0,0,0,0,2,4,.291,.329,.351,.679,12,10,-0.198, 1.60,0.000,-0.198%,-0.02%, 0.26, -1.5,,,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
4,0,0,0,0,1,4,.190,.254,.315,.569,13,10,-0.116, 1.07,0.000,-0.116%,-0.01%, 0.17, -0.9,0,3,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
4,0,1,0,0,1,4,.255,.288,.354,.642,11,9,-0.040, 0.73,0.023,-0.063%,-0.00%, 0.11, -0.3,2,0,SB,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
3,0,0,0,0,1,3,.195,.286,.301,.587,13,8,-0.091, 1.13,0.000,-0.091%,-0.01%, 0.18, -0.8,10,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
3,0,0,0,0,1,3,.161,.238,.339,.577,10,8,-0.064, 0.82,0.000,-0.064%,-0.01%, 0.13, -0.5,6,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
2,0,0,0,0,0,2,.215,.277,.252,.528,4,3,0.012, 0.66,0.028,-0.015%, 0.00%, 0.10, 0.2,4,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
1,0,0,0,0,0,1,.307,.330,.396,.726,2,2,-0.039, 1.50,0.000,-0.039%,-0.00%, 0.24, -0.3,,,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
0,0,0,0,0,0,0,.234,.283,.433,.716,,,,,,,,,,0,1,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
