,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Riley Greene CF,4,0,0,0,0,3,4,.237,.312,.338,.650,15,11,-0.102, 0.97,0.000,-0.102%,-0.00%, 0.01, -0.8,5,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Javier Baez SS,4,1,1,0,0,2,4,.218,.259,.372,.632,11,9,-0.090, 1.28,0.028,-0.118%,-0.00%, 0.02, -0.3,1,3,SB,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Harold Castro 1B,3,1,1,0,1,1,4,.286,.318,.418,.736,16,11,0.086, 1.14,0.114,-0.028%, 0.00%, 0.02, 0.2,6,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Miguel Cabrera DH,3,0,1,0,1,1,4,.287,.334,.356,.691,16,9,-0.104, 1.99,0.074,-0.178%,-0.00%, 0.03, -0.2,,,GDP,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Jeimer Candelario 3B,4,0,3,2,0,0,4,.215,.278,.377,.655,10,9,0.484, 2.38,0.506,-0.021%, 0.00%, 0.04, 2.4,2,2,2B,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
   Akil Baddoo PR,0,1,0,0,0,0,0,.133,.198,.187,.384,,,0.000,,0.000,0.000%,0%,, 0.0,,,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Eric Haase C,4,0,0,0,0,1,4,.241,.300,.437,.737,11,8,-0.277, 2.27,0.000,-0.277%,-0.00%, 0.04, -1.5,6,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Robbie Grossman LF,4,0,0,0,0,3,4,.202,.308,.274,.582,19,15,-0.256, 2.38,0.000,-0.256%,-0.00%, 0.04, -1.3,3,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Jonathan Schoop 2B,4,1,2,0,0,1,4,.211,.243,.309,.552,19,13,0.033, 2.12,0.095,-0.063%,0%, 0.03, 0.0,3,2,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Victor Reyes RF,4,0,1,2,0,1,4,.276,.301,.362,.663,20,15,0.712, 2.71,0.800,-0.088%, 0.01%, 0.04, 1.3,1,0,2B,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
,,,,,,,,,,,,,,,,,,,,,,,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Tarik Skubal P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
   Joe Jimenez P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
   Andrew Chafin P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
   Michael Fulmer P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
