,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Riley Greene CF,5,1,2,3,0,1,5,.252,.347,.369,.716,14,9,0.196, 1.42,0.283,-0.086%, 0.01%, 0.13, 2.2,0,0,"HR,2B",77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Victor Reyes RF,4,0,1,0,0,1,4,.293,.314,.379,.693,17,12,-0.047, 0.84,0.027,-0.074%,-0.00%, 0.07, -0.6,0,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Javier Baez SS,4,1,0,0,0,0,4,.215,.253,.379,.632,13,10,-0.024, 0.93,0.044,-0.067%,-0.00%, 0.08, -0.3,3,4,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Miguel Cabrera DH,4,0,0,0,0,0,4,.286,.324,.346,.670,14,10,-0.107, 1.06,0.000,-0.107%,-0.01%, 0.09, -1.0,,,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Harold Castro 1B,4,1,3,1,0,0,4,.280,.309,.415,.723,15,10,0.116, 1.15,0.172,-0.056%, 0.01%, 0.10, 1.4,10,0,2·2B,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Willi Castro 3B,4,1,1,1,0,2,4,.255,.289,.353,.642,17,13,-0.002, 1.38,0.102,-0.104%,0%, 0.12, 0.0,0,2,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Jonathan Schoop 2B,4,1,0,0,0,0,4,.215,.249,.319,.568,11,8,-0.030, 1.03,0.043,-0.073%,-0.00%, 0.09, -0.2,2,4,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Robbie Grossman LF,3,0,1,0,0,1,4,.207,.311,.277,.588,15,12,0.000, 1.70,0.097,-0.097%,0%, 0.14, 0.4,3,0,HBP,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Tucker Barnhart C,3,0,0,0,0,1,3,.208,.269,.244,.513,14,9,-0.162, 1.61,0.000,-0.162%,-0.01%, 0.14, -1.5,5,0,GDP,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
   Akil Baddoo PH,1,0,0,0,0,1,1,.145,.209,.210,.419,4,3,-0.055, 2.17,0.000,-0.055%,-0.00%, 0.19, -0.2,,,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Drew Hutchison P,,,,,,,,,,,,,,,,,,,,,0,1,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
   Andrew Chafin P,,,,,,,,,,,,,,,,,,,,,1,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
   Michael Fulmer P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
   Alex Lange P,,,,,,,,,,,,,,,,,,,,,0,2,,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
