,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
LeBron James,15:41,0.0,7.0,0.0,0.0,2.0,0.0,4.0,5.0,80.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,2.0,10/03/2022,Sacramento Kings,7.75
Anthony Davis,15:49,4.0,9.0,44.4,2.0,4.0,50.0,1.0,2.0,50.0,1.0,10.0,11.0,2.0,1.0,0.0,0.0,2.0,11.0,2.0,10/03/2022,Sacramento Kings,30.75
Damian Jones,21:12,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,4.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,-15.0,10/03/2022,Sacramento Kings,11.0
Kendrick Nunn,20:17,4.0,7.0,57.1,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,0.0,9.0,-9.0,10/03/2022,Sacramento Kings,11.0
Russell Westbrook,14:41,2.0,3.0,66.7,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,5.0,1.0,10/03/2022,Sacramento Kings,11.5
Juan Toscano-Anderson,22:14,1.0,5.0,20.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,-24.0,10/03/2022,Sacramento Kings,8.25
Patrick Beverley,12:41,1.0,5.0,20.0,1.0,3.0,33.3,5.0,6.0,83.3,2.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,8.0,-1.0,10/03/2022,Sacramento Kings,13.25
Thomas Bryant,18:35,1.0,3.0,33.3,0.0,1.0,0.0,3.0,4.0,75.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0,-9.0,10/03/2022,Sacramento Kings,12.25
Austin Reaves,19:35,1.0,5.0,20.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,5.0,-10.0,10/03/2022,Sacramento Kings,7.5
Wenyen Gabriel,19:37,3.0,8.0,37.5,0.0,2.0,0.0,0.0,3.0,0.0,4.0,6.0,10.0,0.0,1.0,4.0,2.0,1.0,6.0,-12.0,10/03/2022,Sacramento Kings,27.5
Max Christie,25:23,2.0,8.0,25.0,0.0,2.0,0.0,1.0,2.0,50.0,0.0,6.0,6.0,3.0,0.0,0.0,2.0,4.0,5.0,-25.0,10/03/2022,Sacramento Kings,16.0
Cole Swider,19:13,3.0,7.0,42.9,2.0,4.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-30.0,10/03/2022,Sacramento Kings,11.0
Scotty Pippen Jr.,15:02,2.0,7.0,28.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,2.0,4.0,4.0,-20.0,10/03/2022,Sacramento Kings,11.5
