,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
DeMar DeRozan,38:30,10.0,13.0,76.9,3.0,4.0,75.0,5.0,5.0,100.0,0.0,3.0,3.0,4.0,1.0,1.0,0.0,1.0,28.0,-25.0,01/03/2024,New York Knicks,43.25,OKC @ BKN
Patrick Williams,26:50,2.0,8.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,5.0,3.0,5.0,-14.0,01/03/2024,New York Knicks,13.0,OKC @ BKN
Andre Drummond,30:27,5.0,12.0,41.7,0.0,0.0,0.0,3.0,6.0,50.0,8.0,8.0,16.0,0.0,2.0,1.0,1.0,3.0,13.0,-15.0,01/03/2024,New York Knicks,38.5,OKC @ BKN
Alex Caruso,32:36,5.0,13.0,38.5,2.0,8.0,25.0,1.0,1.0,100.0,0.0,4.0,4.0,3.0,4.0,1.0,1.0,4.0,13.0,-11.0,01/03/2024,New York Knicks,33.0,OKC @ BKN
Coby White,37:42,9.0,19.0,47.4,6.0,9.0,66.7,2.0,2.0,100.0,0.0,4.0,4.0,8.0,0.0,1.0,3.0,1.0,26.0,-23.0,01/03/2024,New York Knicks,46.5,OKC @ BKN
Ayo Dosunmu,31:22,2.0,12.0,16.7,1.0,6.0,16.7,2.0,2.0,100.0,0.0,4.0,4.0,4.0,0.0,2.0,0.0,1.0,7.0,-11.0,01/03/2024,New York Knicks,22.5,OKC @ BKN
Jevon Carter,15:36,1.0,6.0,16.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,13.0,01/03/2024,New York Knicks,8.5,OKC @ BKN
Terry Taylor,15:43,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,01/03/2024,New York Knicks,6.5,OKC @ BKN
Dalen Terry,8:22,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,6.0,01/03/2024,New York Knicks,4.75,OKC @ BKN
Julian Phillips,1:43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/03/2024,New York Knicks,1.25,OKC @ BKN
Adama Sanogo,1:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/03/2024,New York Knicks,0.0,OKC @ BKN
