,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Kyle Freeland, 4 ,6,5,5,3,3,1,4.96,20,91,56,36,7,13,6,8,5,0,30,,,-0.190, 1.15,-0.03%, 0.27, -2.1,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
"Jhoulys Chacin, W (4-2)", 2 ,1,0,0,0,1,0,7.23,7,23,20,11,4,5,3,3,1,0,,1,1,0.071, 1.34, 0.01%, 0.31, 0.5,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
"Jake Bird, H (3)", 2 ,1,0,0,0,2,0,3.95,7,31,19,11,1,7,2,3,1,0,,0,0,0.104, 0.67, 0.01%, 0.15, 1.1,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
"Carlos Estevez, S (1)", 1 ,0,0,0,0,1,0,4.45,3,14,9,4,1,4,2,0,0,0,,0,0,0.039, 0.49, 0.01%, 0.12, 0.6,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
