IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
 5 ,7,3,2,2,5,0,5.97,25,94,59,30,10,19,5,13,6,0,46,,,-0.043, 1.13,-0.01%, 0.29, -0.1,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
 0.2,3,2,2,0,1,0,5.02,5,17,11,6,1,4,1,3,3,0,,0,0,-0.241, 1.56,-0.04%, 0.40, -1.7,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
 1.1,1,0,0,0,3,0,3.30,5,17,13,6,3,4,1,1,1,0,,1,0,0.062, 0.88, 0.01%, 0.23, 0.8,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
 1 ,1,0,0,0,1,0,5.23,4,15,10,5,3,2,0,3,1,0,,0,0,0.035, 0.47, 0.01%, 0.12, 0.6,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
 1 ,4,3,3,1,1,0,5.17,7,32,17,10,1,6,2,3,1,0,,0,0,-0.075, 0.48,-0.01%, 0.12, -2.4,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
