,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Yandy Díaz 3B,5,0,3,1,0,1,5,.294,.405,.402,.807,19,13,0.223, 1.63,0.275,-0.051%, 0.14%, 1.77, 1.5,0,3,2B,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Roman Quinn PR-CF,0,1,0,0,0,0,0,.217,.265,.304,.570,,,0.000,,0.000,0.000%,0%,, 0.0,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Brandon Lowe 2B,4,0,0,0,1,2,5,.240,.311,.433,.745,25,15,-0.069, 1.69,0.074,-0.143%,-0.04%, 1.83, -1.1,1,2,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Randy Arozarena LF,5,1,2,2,0,1,5,.259,.316,.430,.746,19,11,0.158, 1.58,0.221,-0.062%, 0.10%, 1.70, 1.1,0,0,2B,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Ji-Man Choi DH,4,1,1,2,1,1,5,.266,.369,.435,.804,17,12,0.117, 0.94,0.185,-0.068%, 0.08%, 1.02, 1.5,,,"HR,IW",89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Isaac Paredes 1B,5,0,1,0,0,3,5,.223,.300,.497,.797,28,20,-0.056, 0.75,0.025,-0.081%,-0.04%, 0.81, -0.9,12,1,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Luke Raley RF,4,1,2,1,0,0,4,.194,.302,.333,.636,9,6,0.045, 0.78,0.093,-0.048%, 0.03%, 0.85, 0.6,4,0,HR,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Rene Pinto C,1,0,0,0,0,0,1,.200,.214,.309,.523,5,3,-0.093, 2.00,0.000,-0.093%,-0.06%, 2.16, -1.6,3,0,GDP,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Christian Bethancourt C,4,0,1,0,0,2,4,.242,.291,.379,.670,14,12,-0.048, 0.73,0.019,-0.067%,-0.03%, 0.79, -0.5,7,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Brett Phillips PR-CF,0,0,0,0,0,0,0,.146,.227,.253,.480,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Yu Chang 3B,0,0,0,0,0,0,0,.179,.247,.256,.503,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Josh Lowe CF-RF,4,1,1,0,0,2,4,.203,.259,.331,.591,15,10,0.006, 0.82,0.065,-0.059%, 0.00%, 0.89, -0.1,2,0,2B,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Taylor Walls SS,3,1,0,0,1,1,4,.171,.253,.279,.533,12,6,-0.045, 0.74,0.028,-0.072%,-0.03%, 0.80, -0.5,1,5,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Drew Rasmussen P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Ryan Thompson P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Brooks Raley P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Jason Adam P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Colin Poche P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
   Pete Fairbanks P,,,,,,,,,,,,,,,,,,,,,0,0,,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
