,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Yandy Díaz 3B,3,0,0,0,1,1,4,.299,.410,.396,.805,12,7,-0.029, 0.79,0.031,-0.059%,-0.02%, 0.80, -0.3,2,1,,72° F, Wind 0mph, In Dome.
Harold Ramirez DH,4,0,2,0,0,1,4,.329,.375,.447,.822,19,15,0.101, 0.81,0.130,-0.029%, 0.06%, 0.82, 0.7,,,2B,72° F, Wind 0mph, In Dome.
Ji-Man Choi 1B,4,0,0,0,0,1,4,.280,.389,.455,.844,15,11,-0.142, 0.96,0.000,-0.142%,-0.09%, 0.98, -1.3,8,0,,72° F, Wind 0mph, In Dome.
Randy Arozarena LF,4,0,0,0,0,2,4,.248,.307,.411,.718,16,9,-0.137, 1.23,0.000,-0.137%,-0.08%, 1.25, -1.1,2,0,,72° F, Wind 0mph, In Dome.
Isaac Paredes 2B,3,1,0,0,1,0,4,.231,.301,.526,.826,12,6,-0.016, 0.93,0.048,-0.064%,-0.01%, 0.94, -0.2,1,2,,72° F, Wind 0mph, In Dome.
   Taylor Walls SS,0,0,0,0,0,0,0,.172,.251,.283,.534,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
Josh Lowe CF-RF,4,1,2,0,0,1,4,.196,.253,.329,.582,14,11,0.013, 0.93,0.066,-0.053%, 0.01%, 0.94, -0.0,2,0,2B,72° F, Wind 0mph, In Dome.
Yu Chang SS-2B,4,1,2,2,0,0,4,.191,.267,.279,.546,14,8,0.301, 1.29,0.337,-0.036%, 0.18%, 1.30, 1.8,4,3,2·2B,72° F, Wind 0mph, In Dome.
Francisco Mejia C,3,1,1,1,0,2,3,.241,.249,.398,.646,11,8,0.110, 1.48,0.181,-0.070%, 0.07%, 1.50, 0.4,7,0,2B,72° F, Wind 0mph, In Dome.
Luke Raley RF,2,0,0,0,0,0,2,.063,.211,.063,.273,7,5,-0.071, 1.32,0.000,-0.071%,-0.04%, 1.34, -0.5,1,0,,72° F, Wind 0mph, In Dome.
   Christian Bethancourt PH,1,1,1,2,0,0,1,.250,.298,.398,.696,5,4,0.172, 1.16,0.172,0.000%, 0.10%, 1.18, 1.8,,,HR,72° F, Wind 0mph, In Dome.
   Brett Phillips CF,0,0,0,0,0,0,0,.144,.213,.240,.453,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
Luis Patino P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Shawn Armstrong P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Matt Wisler P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Ryan Thompson P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Colin Poche P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Brooks Raley P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
