,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Yandy Díaz 3B,4,1,1,1,0,1,4,.303,.414,.402,.816,12,8,-0.001, 0.97,0.058,-0.060%,-0.00%, 1.00, 0.2,1,3,,72° F, Wind 0mph, In Dome.
Ji-Man Choi 1B,3,0,1,1,1,1,4,.281,.393,.453,.847,17,10,0.084, 0.82,0.109,-0.025%, 0.05%, 0.84, 0.9,11,0,,72° F, Wind 0mph, In Dome.
Harold Ramirez RF,4,0,1,1,0,0,4,.332,.378,.450,.828,21,14,0.035, 0.70,0.062,-0.027%, 0.02%, 0.72, 0.1,0,0,,72° F, Wind 0mph, In Dome.
   Brett Phillips CF,0,0,0,0,0,0,0,.145,.215,.242,.458,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
Isaac Paredes 2B,4,0,0,0,0,1,4,.235,.302,.536,.838,13,9,-0.067, 0.70,0.000,-0.067%,-0.04%, 0.72, -1.1,2,4,,72° F, Wind 0mph, In Dome.
Jonathan Aranda DH,4,0,0,0,0,1,4,.308,.308,.308,.615,14,11,-0.056, 0.56,0.000,-0.056%,-0.03%, 0.57, -0.9,,,,72° F, Wind 0mph, In Dome.
Randy Arozarena LF,2,0,0,0,2,0,4,.251,.311,.416,.727,22,11,-0.007, 0.32,0.014,-0.021%,-0.00%, 0.33, -0.1,1,0,,72° F, Wind 0mph, In Dome.
Taylor Walls SS,4,1,1,1,0,1,4,.165,.246,.274,.520,14,8,0.043, 0.44,0.079,-0.036%, 0.03%, 0.45, 0.3,2,3,HR,72° F, Wind 0mph, In Dome.
Josh Lowe CF-RF,1,2,0,0,2,0,3,.185,.247,.311,.558,13,4,0.043, 0.52,0.050,-0.007%, 0.03%, 0.54, 0.5,1,0,,72° F, Wind 0mph, In Dome.
Francisco Mejia C,3,0,1,0,0,1,3,.241,.248,.395,.644,13,11,0.043, 0.78,0.061,-0.017%, 0.03%, 0.80, 0.2,9,1,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
Shane McClanahan P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Jason Adam P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Ryan Thompson P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
   Colin Poche P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
