AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
4,0,1,1,0,2,4,.199,.258,.338,.595,14,8,0.054, 0.46,0.086,-0.031%, 0.03%, 0.47, 0.6,3,0,2B,72° F, Wind 0mph, In Dome.
0,1,0,0,0,0,1,.329,.379,.446,.825,3,2,0.024, 0.62,0.024,0.000%, 0.01%, 0.64, 0.3,1,0,HBP,72° F, Wind 0mph, In Dome.
3,0,0,0,0,2,3,.050,.174,.050,.224,20,14,-0.025, 0.30,0.000,-0.025%,-0.01%, 0.30, -0.5,5,0,,72° F, Wind 0mph, In Dome.
4,1,2,2,0,1,4,.254,.314,.431,.744,10,9,0.181, 0.50,0.192,-0.010%, 0.11%, 0.52, 1.7,2,0,HR,72° F, Wind 0mph, In Dome.
4,1,4,0,0,0,4,.246,.324,.452,.776,14,10,0.033, 0.34,0.040,-0.007%, 0.02%, 0.35, 0.7,,,2·2B,72° F, Wind 0mph, In Dome.
4,0,0,0,0,1,4,.226,.297,.506,.803,16,10,-0.050, 0.50,0.000,-0.050%,-0.03%, 0.52, -1.2,3,2,,72° F, Wind 0mph, In Dome.
3,1,1,0,1,1,4,.178,.257,.295,.552,20,11,-0.020, 0.46,0.012,-0.032%,-0.01%, 0.48, -0.1,1,4,2B,72° F, Wind 0mph, In Dome.
3,2,1,3,1,1,4,.147,.219,.259,.478,20,12,0.118, 0.52,0.137,-0.019%, 0.07%, 0.54, 2.2,3,0,HR,72° F, Wind 0mph, In Dome.
4,1,1,1,0,2,4,.241,.249,.412,.660,16,12,0.037, 0.42,0.065,-0.028%, 0.02%, 0.44, 0.4,7,0,HR,72° F, Wind 0mph, In Dome.
4,0,0,0,0,4,4,.181,.253,.264,.517,17,14,-0.036, 0.36,0.000,-0.036%,-0.02%, 0.38, -0.8,2,1,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 0mph, In Dome.
