,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Connor Joe LF,1,1,0,1,3,1,5,.264,.371,.389,.760,24,9,0.064, 1.21,0.087,-0.023%, 0.01%, 0.28, 0.5,2,0,"SB,SF",96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Sam Hilliard LF,0,0,0,0,0,0,0,.183,.254,.292,.545,,,,,,,,,,0,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
José Iglesias SS,4,1,1,2,1,1,5,.304,.345,.410,.755,35,22,0.183, 1.26,0.241,-0.058%, 0.03%, 0.29, 0.9,3,2,2B,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Kris Bryant DH,4,0,0,1,1,1,5,.289,.357,.456,.813,17,11,-0.002, 0.90,0.070,-0.072%,0%, 0.21, -0.0,,,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
C.J. Cron 1B,5,2,2,1,0,2,5,.296,.348,.546,.894,24,18,0.147, 1.04,0.202,-0.055%, 0.02%, 0.24, 0.8,9,0,2B,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Brendan Rodgers 2B,3,1,1,0,2,1,5,.255,.310,.405,.716,23,12,0.074, 0.68,0.087,-0.013%, 0.01%, 0.16, 0.8,1,2,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Randal Grichuk RF,4,1,2,3,0,0,4,.247,.284,.396,.681,14,10,0.046, 1.25,0.167,-0.122%, 0.01%, 0.29, 1.2,3,0,"2·2B,GDP",96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Yonathan Daza CF,4,1,2,0,0,1,4,.296,.349,.343,.693,16,12,0.008, 0.70,0.040,-0.033%, 0.00%, 0.17, -0.4,2,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Brian Serven C,3,0,0,0,1,2,4,.247,.319,.400,.719,22,11,-0.055, 0.87,0.012,-0.068%,-0.01%, 0.20, -0.6,7,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Garrett Hampson 3B,3,1,1,0,1,1,4,.236,.311,.364,.675,21,11,0.013, 1.06,0.053,-0.040%, 0.00%, 0.25, 0.3,0,4,SB,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Kyle Freeland P,,,,,,,,,,,,,,,,,,,,,0,1,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Jhoulys Chacin P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Jake Bird P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Carlos Estevez P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
