AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,1,1,1,0,1,5,.277,.326,.476,.802,16,9,-0.062, 1.10,0.086,-0.148%,-0.01%, 0.28, -1.0,3,1,"3B,SF,GDP",96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
3,0,1,1,0,0,4,.301,.340,.404,.744,12,7,-0.027, 0.78,0.024,-0.051%,-0.00%, 0.20, -0.4,2,1,SF,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
4,0,0,0,0,0,4,.302,.366,.460,.827,17,10,-0.105, 0.94,0.000,-0.105%,-0.02%, 0.24, -0.8,,,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
4,1,2,0,0,2,4,.298,.350,.552,.902,16,10,0.081, 1.12,0.130,-0.049%, 0.01%, 0.29, 0.4,4,1,2B,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
4,0,2,0,0,1,4,.260,.313,.420,.733,15,11,-0.066, 1.63,0.120,-0.186%,-0.01%, 0.42, -0.2,2,2,"2B,GDP",96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
2,0,1,0,2,0,4,.246,.341,.382,.723,19,9,0.050, 1.36,0.099,-0.050%, 0.01%, 0.35, 0.5,1,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
3,0,0,1,1,1,4,.248,.287,.397,.684,17,10,-0.068, 1.99,0.024,-0.092%,-0.01%, 0.51, -0.5,4,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
1,0,0,0,0,0,1,.177,.252,.282,.534,1,1,-0.025, 0.84,0.000,-0.025%,-0.00%, 0.22, -0.3,1,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
3,0,0,0,0,1,3,.262,.367,.382,.749,9,6,-0.150, 1.74,0.000,-0.150%,-0.02%, 0.45, -1.4,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
3,1,2,0,0,0,4,.231,.283,.370,.653,9,7,0.134, 1.02,0.177,-0.043%, 0.02%, 0.26, 1.5,10,1,"3B,2B,HBP",96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
