,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Aaron Wiggins,19:35,2.0,4.0,50.0,0.0,1.0,0.0,3.0,3.0,100.0,0.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,7.0,5.0,10/05/2022,Dallas Mavericks,14.0
Aleksej Pokusevski,18:20,3.0,6.0,50.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,4.0,8.0,9.0,10/05/2022,Dallas Mavericks,14.25
Jeremiah Robinson-Earl,15:54,2.0,6.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,2.0,0.0,1.0,0.0,4.0,-2.0,10/05/2022,Dallas Mavericks,15.25
Tre Mann,17:53,3.0,9.0,33.3,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,8.0,0.0,10/05/2022,Dallas Mavericks,15.5
Josh Giddey,16:54,6.0,10.0,60.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,3.0,3.0,0.0,2.0,2.0,13.0,0.0,10/05/2022,Dallas Mavericks,25.0
Kenrich Williams,19:49,1.0,4.0,25.0,0.0,3.0,0.0,4.0,6.0,66.7,2.0,4.0,6.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,10/05/2022,Dallas Mavericks,18.5
Jalen Williams,22:14,3.0,9.0,33.3,0.0,3.0,0.0,4.0,5.0,80.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,10.0,7.0,10/05/2022,Dallas Mavericks,20.5
Ousmane Dieng,20:08,3.0,6.0,50.0,1.0,2.0,50.0,1.0,2.0,50.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,8.0,-9.0,10/05/2022,Dallas Mavericks,13.25
Eugene Omoruyi,19:57,4.0,9.0,44.4,0.0,1.0,0.0,1.0,1.0,100.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,4.0,9.0,-11.0,10/05/2022,Dallas Mavericks,16.0
Darius Bazley,19:01,3.0,6.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,3.0,3.0,6.0,1.0,0.0,1.0,2.0,1.0,8.0,-5.0,10/05/2022,Dallas Mavericks,18.0
Lindy Waters III,19:33,1.0,7.0,14.3,1.0,5.0,20.0,2.0,2.0,100.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,10/05/2022,Dallas Mavericks,14.5
David Nwaba,12:00,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,6.0,-4.0,10/05/2022,Dallas Mavericks,14.0
Jaylin Williams,12:00,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,50.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,-4.0,10/05/2022,Dallas Mavericks,6.25
Robert Woodard II,6:42,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,10/05/2022,Dallas Mavericks,7.25
