,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
J.P. Crawford SS,4,1,1,0,1,0,5,.266,.346,.384,.730,14,7,-0.015, 0.48,0.041,-0.055%,-0.01%, 0.44, -0.8,2,3,GDP,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Ty France 1B,4,0,0,0,0,0,4,.302,.375,.454,.829,20,13,-0.044, 0.62,0.000,-0.044%,-0.02%, 0.57, -1.0,10,0,,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Carlos Santana DH,3,1,0,0,1,2,4,.225,.357,.372,.729,21,11,0.003, 0.47,0.020,-0.017%, 0.00%, 0.44, -0.4,,,,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Eugenio Suarez 3B,4,1,1,3,0,3,4,.242,.335,.450,.785,17,11,0.208, 0.60,0.220,-0.012%, 0.12%, 0.56, 1.9,1,1,HR,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Jesse Winker LF,4,1,1,1,0,2,4,.226,.340,.346,.687,20,11,0.049, 0.26,0.062,-0.013%, 0.03%, 0.23, 0.6,2,0,HR,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Cal Raleigh C,4,1,1,1,0,1,4,.200,.269,.467,.735,12,8,-0.013, 0.23,0.008,-0.021%,-0.01%, 0.21, 0.4,3,0,HR,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Adam Frazier RF,4,1,2,1,0,0,4,.225,.288,.301,.589,11,9,0.061, 0.24,0.066,-0.005%, 0.03%, 0.23, 1.0,4,1,HR,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Dylan Moore CF,4,0,2,0,0,2,4,.197,.348,.386,.734,18,12,0.025, 0.28,0.032,-0.007%, 0.01%, 0.26, 0.8,5,0,2B,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Abraham Toro 2B,3,0,0,0,1,1,4,.177,.234,.320,.554,14,7,-0.033, 0.34,0.003,-0.036%,-0.02%, 0.31, -1.0,0,3,,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
Chris Flexen P,,,,,,,,,,,,,,,,,,,,,0,1,,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
   Ryan Borucki P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
   Andres Munoz P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
   Penn Murfee P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
   Paul Sewald P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation.
