,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Julio Rodriguez CF,4,1,1,3,0,1,4,.274,.337,.489,.825,12,9,0.237, 1.69,0.332,-0.095%, 0.15%, 1.75, 0.9,5,0,HR,77° F, Wind 0mph, Sunny, No Precipitation.
Jesse Winker LF,3,0,0,0,1,2,4,.225,.337,.341,.677,17,9,-0.018, 0.58,0.024,-0.043%,-0.01%, 0.60, -0.2,0,0,,77° F, Wind 0mph, Sunny, No Precipitation.
   Dylan Moore LF,0,0,0,0,0,0,0,.199,.341,.370,.711,,,,,,,,,,0,0,,77° F, Wind 0mph, Sunny, No Precipitation.
Kyle Lewis DH,3,0,0,0,1,3,4,.214,.333,.429,.762,21,13,0.016, 0.89,0.064,-0.048%, 0.01%, 0.92, -0.2,,,,77° F, Wind 0mph, Sunny, No Precipitation.
Carlos Santana 1B,4,0,0,0,0,0,4,.206,.337,.357,.694,11,11,-0.097, 0.99,0.000,-0.097%,-0.06%, 1.03, -0.9,8,0,,77° F, Wind 0mph, Sunny, No Precipitation.
Eugenio Suarez 3B,4,0,0,0,0,1,4,.234,.333,.426,.760,11,8,-0.099, 1.01,0.000,-0.099%,-0.06%, 1.05, -0.9,2,2,,77° F, Wind 0mph, Sunny, No Precipitation.
J.P. Crawford SS,3,1,2,0,1,0,4,.267,.345,.378,.723,16,8,0.010, 0.71,0.052,-0.042%, 0.01%, 0.74, 0.4,2,1,,77° F, Wind 0mph, Sunny, No Precipitation.
Adam Frazier 2B,4,0,1,0,0,0,4,.239,.297,.309,.606,7,6,-0.034, 1.05,0.047,-0.082%,-0.02%, 1.09, -0.3,2,3,SB,77° F, Wind 0mph, Sunny, No Precipitation.
Luis Torrens C,2,0,0,0,0,2,2,.214,.268,.231,.498,7,6,-0.078, 1.58,0.000,-0.078%,-0.05%, 1.64, -0.8,6,0,,77° F, Wind 0mph, Sunny, No Precipitation.
   Cal Raleigh PH-C,0,1,0,0,1,0,1,.211,.288,.474,.762,6,2,0.054, 1.41,0.054,0.000%, 0.03%, 1.46, 0.3,1,0,,77° F, Wind 0mph, Sunny, No Precipitation.
Sam Haggerty RF,3,1,2,1,0,0,3,.303,.343,.500,.843,9,5,0.277, 1.83,0.306,-0.030%, 0.17%, 1.89, 1.8,1,0,2·2B,77° F, Wind 0mph, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,77° F, Wind 0mph, Sunny, No Precipitation.
Marco Gonzales P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 0mph, Sunny, No Precipitation.
   Erik Swanson P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 0mph, Sunny, No Precipitation.
   Andres Munoz P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 0mph, Sunny, No Precipitation.
   Matthew Festa P,,,,,,,,,,,,,,,,,,,,,0,0,,77° F, Wind 0mph, Sunny, No Precipitation.
