IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
 4 ,7,5,5,3,5,0,10.13,21,82,48,29,8,11,7,5,3,0,30,,,-0.290, 1.09,-0.17%, 1.05, -3.1,72° F, Wind 0mph, In Dome.
 1 ,1,0,0,0,2,0,2.48,4,12,10,5,3,2,1,1,1,0,,0,0,0.065, 0.93, 0.04%, 0.90, 0.5,72° F, Wind 0mph, In Dome.
 0.1,1,2,2,0,0,0,3.48,3,11,5,4,0,1,0,2,2,0,,0,0,-0.192, 1.72,-0.11%, 1.67, -1.2,72° F, Wind 0mph, In Dome.
 0.2,1,0,0,0,0,0,0.00,2,7,5,2,1,2,1,1,1,0,,1,1,-0.060, 0.68,-0.03%, 0.66, -0.3,72° F, Wind 0mph, In Dome.
 2 ,4,3,0,0,0,0,4.70,11,45,33,20,5,8,5,6,1,0,,0,0,-0.030, 0.26,-0.02%, 0.25, -2.0,72° F, Wind 0mph, In Dome.
