IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
 0.2,2,3,2,0,0,0,3.18,6,24,15,11,1,3,3,2,2,0,38,,,-0.241, 1.23,-0.13%, 1.08, -2.7,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
 1 ,1,0,0,1,0,0,2.55,5,24,16,11,0,5,1,3,2,0,,1,0,0.017, 0.66, 0.01%, 0.58, 0.3,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
 0.2,0,0,0,1,1,0,3.86,4,17,8,2,3,3,0,1,0,0,,2,0,0.022, 0.94, 0.01%, 0.83, 0.4,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
 0.2,4,4,4,0,0,0,5.40,5,18,13,7,1,5,3,2,2,0,,1,0,-0.166, 1.08,-0.09%, 0.94, -2.5,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
 1 ,3,4,4,2,2,1,4.54,8,39,20,11,3,6,0,4,2,0,,2,2,-0.094, 0.41,-0.05%, 0.35, -4.5,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
 1 ,1,0,0,1,0,0,3.15,5,10,5,5,0,0,2,2,0,0,,0,0,0.001, 0.02, 0.00%, 0.02, 0.5,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
 1 ,0,0,0,0,2,0,3.31,3,13,8,4,2,2,0,1,0,0,,0,0,0.000, 0.00, 0.00%, 0.00, 0.5,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
 1 ,2,2,2,0,0,1,1.60,5,16,9,5,0,4,2,3,1,0,,0,0,-0.001, 0.00, 0.00%, 0.00, -1.5,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
 1 ,1,0,0,1,1,0,3.86,6,27,16,8,2,6,1,2,0,0,,0,0,0.000, 0.00, 0.00%, 0.00, 0.5,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
