,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Nathan Eovaldi, 6 ,9,5,3,0,1,0,4.32,29,95,67,45,7,15,16,12,7,0,39,,,-0.161, 0.97,-0.07%, 0.74, -1.6,72° F, Wind 9mph in from Rightfield, Cloudy, No Precipitation.
"John Schreiber, BS (2)", 2 ,2,1,1,1,1,0,1.66,9,36,20,9,2,9,4,3,2,0,,0,0,-0.016, 2.06,-0.01%, 1.57, 0.1,72° F, Wind 9mph in from Rightfield, Cloudy, No Precipitation.
"Tanner Houck, L (5-4)", 1 ,1,1,1,0,0,1,3.30,4,12,7,7,0,0,3,1,0,0,,0,0,-0.277, 1.32,-0.13%, 1.01, -0.4,72° F, Wind 9mph in from Rightfield, Cloudy, No Precipitation.
