,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Khris Middleton,32:06,7.0,13.0,53.8,4.0,7.0,57.1,1.0,1.0,100.0,1.0,5.0,6.0,7.0,0.0,2.0,4.0,2.0,19.0,-15.0,01/03/2024,Indiana Pacers,41.0,OKC @ BKN
Giannis Antetokounmpo,35:43,8.0,13.0,61.5,1.0,2.0,50.0,9.0,13.0,69.2,0.0,11.0,11.0,8.0,3.0,1.0,3.0,2.0,26.0,-12.0,01/03/2024,Indiana Pacers,58.75,OKC @ BKN
Brook Lopez,28:22,6.0,11.0,54.5,2.0,4.0,50.0,2.0,3.0,66.7,3.0,2.0,5.0,1.0,0.0,0.0,2.0,3.0,16.0,-22.0,01/03/2024,Indiana Pacers,23.75,OKC @ BKN
Malik Beasley,22:48,3.0,8.0,37.5,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,8.0,-17.0,01/03/2024,Indiana Pacers,11.75,OKC @ BKN
Damian Lillard,36:05,6.0,18.0,33.3,2.0,8.0,25.0,9.0,10.0,90.0,1.0,1.0,2.0,5.0,3.0,0.0,2.0,3.0,23.0,-22.0,01/03/2024,Indiana Pacers,39.0,OKC @ BKN
Pat Connaughton,14:11,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,-4.0,01/03/2024,Indiana Pacers,7.5,OKC @ BKN
Bobby Portis,20:19,4.0,10.0,40.0,0.0,2.0,0.0,1.0,2.0,50.0,3.0,3.0,6.0,1.0,0.0,1.0,0.0,1.0,9.0,-1.0,01/03/2024,Indiana Pacers,20.0,OKC @ BKN
MarJon Beauchamp,20:57,6.0,9.0,66.7,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,12.0,-1.0,01/03/2024,Indiana Pacers,16.75,OKC @ BKN
Cameron Payne,9:59,2.0,3.0,66.7,1.0,2.0,50.0,2.0,3.0,66.7,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,7.0,5.0,01/03/2024,Indiana Pacers,11.75,OKC @ BKN
Andre Jackson Jr.,13:42,3.0,4.0,75.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,7.0,14.0,01/03/2024,Indiana Pacers,12.5,OKC @ BKN
Robin Lopez,1:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01/03/2024,Indiana Pacers,1.25,OKC @ BKN
Thanasis Antetokounmpo,1:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,01/03/2024,Indiana Pacers,1.25,OKC @ BKN
Chris Livingston,1:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,01/03/2024,Indiana Pacers,2.75,OKC @ BKN
