,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Khris Middleton,33:33,7.0,16.0,43.8,3.0,6.0,50.0,6.0,6.0,100.0,0.0,3.0,3.0,8.0,2.0,1.0,3.0,1.0,23.0,-8.0,01/08/2024,Utah Jazz,44.75,PHX @ LAC
Giannis Antetokounmpo,38:23,10.0,20.0,50.0,0.0,2.0,0.0,5.0,9.0,55.6,4.0,6.0,10.0,11.0,0.0,0.0,4.0,5.0,25.0,-14.0,01/08/2024,Utah Jazz,52.0,PHX @ LAC
Brook Lopez,37:48,5.0,11.0,45.5,3.0,6.0,50.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,0.0,2.0,0.0,2.0,13.0,-9.0,01/08/2024,Utah Jazz,30.5,PHX @ LAC
Andre Jackson Jr.,26:24,2.0,6.0,33.3,1.0,2.0,50.0,2.0,2.0,100.0,2.0,3.0,5.0,3.0,0.0,2.0,1.0,2.0,7.0,-6.0,01/08/2024,Utah Jazz,21.75,PHX @ LAC
Malik Beasley,24:21,6.0,12.0,50.0,5.0,8.0,62.5,0.0,0.0,0.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,17.0,-12.0,01/08/2024,Utah Jazz,31.5,PHX @ LAC
MarJon Beauchamp,14:18,1.0,6.0,16.7,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,4.0,01/08/2024,Utah Jazz,14.5,PHX @ LAC
Bobby Portis,16:01,4.0,11.0,36.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,8.0,-8.0,01/08/2024,Utah Jazz,11.75,PHX @ LAC
Pat Connaughton,21:53,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,6.0,-12.0,01/08/2024,Utah Jazz,11.0,PHX @ LAC
AJ Green,11:04,3.0,4.0,75.0,2.0,3.0,66.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,-15.0,01/08/2024,Utah Jazz,10.25,PHX @ LAC
Chris Livingston,14:39,2.0,5.0,40.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,01/08/2024,Utah Jazz,10.0,PHX @ LAC
Thanasis Antetokounmpo,0:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/08/2024,Utah Jazz,0.0,PHX @ LAC
Robin Lopez,0:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/08/2024,Utah Jazz,0.0,PHX @ LAC
